conseil_de_quartier,prop_at_flood_risk
TRIANGLE D'OR,0.4052978426733761
MARTIN LUTHER KING,0.024497773125800964
BAS - BELLEVILLE,0.0
BLANCHE - TRINITE,0.030888700736100186
RENNES,0.01755116298328409
MANIN - JAURES,0.0
DAUPHINE,0.0
SECRETAN,0.0
JARDIN DES PLANTES,0.5122626741544796
CROULEBARBE,0.0
EPINETTES - BESSIERES,0.006324875687923399
SAINT - PLACIDE,0.0
SAINT - THOMAS D'AQUIN,0.3157796102245799
GAMBETTA,0.0
SAINT - LAMBERT,0.4234115913949631
BOIS DE BOULOGNE,0.07779660513380102
NATION - PICPUS,0.029742332112679706
PLAINE LAGNY,0.0
DIDOT - PORTE DE VANVES,0.0
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,0.0
CHAILLOT,0.20243618165742072
MARAIS - ARCHIVES,0.23052052647033322
LA FOURCHE - GUY MOQUET,0.0
CHARLES HERMITE - EVANGILE,0.0
JEAN MOULIN - PORTE D'ORLEANS,0.0
INVALIDES,0.31113068687333184
LOUIS BLANC - AQUEDUC,0.0
NOTRE - DAME DES CHAMPS,0.0
ITALIE - PEUPLIERS - RUNGIS,0.0
MUETTE SUD,0.30039877909689683
PASTEUR - MONTPARNASSE,0.0
GRANGE AUX BELLES - TERRAGE,0.0
BIBLIOTHEQUE - SEINE,0.600411050464793
SENTIER - ARTS ET METIERS,0.0
CHATEAU D'EAU - LANCRY,0.0
VIOLET - COMMERCE,0.8913483951327471
PLACE DES FETES,0.0
ODEON,0.01806499044408781
MASSENA - JEANNE D'ARC,0.03797958427437436
BATIGNOLLES,0.0
MONCEAU,0.011865426562559981
ANVERS - MONTHOLON,0.0
MOUTON - DUVERNET,0.0
VAL DE GRACE,0.0
SAINT - GERMAIN DES PRES,0.7869656989373214
BEL - AIR NORD,0.0
AUTEUIL SUD,0.2454487221174963
PONT DE FLANDRE,0.0
SAINT - PHILIPPE DU ROULE,0.26267674126517215
TERNES - MAILLOT,0.0
FAUBOURG MONTMARTRE,0.04068158691807478
CLIGNANCOURT - JULES JOFFRIN,0.0
GOUTTE D'OR - CHATEAU ROUGE,0.0
LEGENDRE - LEVIS,0.0
CHAMPERRET - BERTHIER,0.11146368270066535
HOCHE - FRIEDLAND,0.0
MUETTE NORD,0.04502859837798172
PORTE DES LILAS,0.0
EMERIAU - ZOLA,0.7713835586295394
PORTE SAINT-DENIS - PARADIS,0.0
GEORGES BRASSENS,0.0
MONTMARTRE,0.0
MONTSOURIS - DAREAU,0.0
DUPLEIX - LA MOTTE PICQUET,0.6469933655007315
LEON BLUM - FOLIE-REGNAULT,0.00944415969220847
BASSIN DE LA VILLETTE,0.0
COURCELLES - WAGRAM,0.0
ROSA PARKS - MACDONALD,0.0
REUNION - PERE LACHAISE,0.0
FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,0.0
SAINT BLAISE,0.0
PEREIRE - MALESHERBES,0.016946351188894166
REPUBLIQUE - SAINT-AMBROISE,0.0
PERNETY,0.0
EUROPE,0.060998404631722354
GROS CAILLOU,0.45091734874515876
GRANDES CARRIERES - CLICHY,0.0
MAIRIE,0.28311184762467007
SEINE,0.5214942456609455
MONNAIE,0.5848277673620026
BASTILLE - POPINCOURT,0.6958641242659783
BELLEVILLE,0.0
AMANDIERS - MENILMONTANT,0.0
BERCY,0.5079536308498278
ECOLE MILITAIRE,0.0
MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT,0.0
AMIRAUX - SIMPLON - POISSONNIERS,0.0
PIGALLE - MARTYRS,0.0
CITROEN - BOUCICAUT,0.636168288715405
JARDIN DE REUILLY,0.3284762497479748
SAINT - VINCENT DE PAUL - LARIBOISIERE,0.0
PLATEAU,0.0
MONTPARNASSE - RASPAIL,0.0
SALPETRIERE - AUSTERLITZ,0.18577787881892122
NATIONALE - DEUX MOULINS,0.0
NATION - ALEXANDRE DUMAS,0.029224071965282414
BELLEVILLE - SAINT-MAUR,0.0
TEMPLE - ENFANTS ROUGES,0.0
MARAIS - PLACE DES VOSGES,0.02642886163157838
ALIGRE - GARE DE LYON,0.6917457072905218
ALLERAY - PROCESSION,0.0
AUTEUIL NORD,0.3333798621309704
VAUGIRARD - PARC DES EXPOSITIONS,0.4850340255494308
BEL - AIR SUD,0.0
LOUVRE - OPERA,0.2967186883709237
VALLEE DE FECAMP,0.05747644786941446
TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,0.0
OPERA - CHAUSSEE D'ANTIN,0.5872938269749078
OLYMPIADES - CHOISY,0.0
SORBONNE,0.14571923754067528
LA CHAPELLE - MARX DORMOY,0.0
ELYSEES - MADELEINE,0.39899855369975873
DANUBE,0.0
FLANDRE - AUBERVILLIERS,0.0
SAINT - VICTOR,0.33577007104719914
CAMBRONNE - GARIBALDI,0.0
HALLES - BEAUBOURG - MONTORGUEIL,0.04359602539360679
