code_postal,rooms,epoque,furnished,ref,refmaj,refmin
38000,1,inf1946,non-meuble,15.254485052843975,18.265382063412773,10.688139534729237
38100,1,inf1946,non-meuble,14.700418944741866,17.60050273369024,10.300293240256757
38120,1,inf1946,non-meuble,14.200000000411723,17.00000000049407,9.90000000032938
38130,1,inf1946,non-meuble,14.2,17.0,9.9
38170,1,inf1946,non-meuble,14.20000000685192,17.000000008222305,9.900000005481536
38180,1,inf1946,non-meuble,14.200000000000001,17.000000000000004,9.900000000000002
38190,1,inf1946,non-meuble,14.2,17.0,9.9
38220,1,inf1946,non-meuble,14.2,17.0,9.9
38240,1,inf1946,non-meuble,14.2,17.0,9.9
38250,1,inf1946,non-meuble,14.2,17.0,9.9
38320,1,inf1946,non-meuble,14.2,17.0,9.9
38330,1,inf1946,non-meuble,14.2,17.0,9.9
38340,1,inf1946,non-meuble,14.2,17.0,9.9
38360,1,inf1946,non-meuble,14.200000003207228,17.000000003848676,9.900000002565783
38380,1,inf1946,non-meuble,14.2,17.0,9.9
38400,1,inf1946,non-meuble,14.20000000358364,17.000000004300368,9.900000002866912
38410,1,inf1946,non-meuble,14.2,17.0,9.9
38420,1,inf1946,non-meuble,14.2,17.0,9.9
38450,1,inf1946,non-meuble,14.2,17.0,9.9
38560,1,inf1946,non-meuble,14.2,17.0,9.9
38600,1,inf1946,non-meuble,14.200000017971032,17.00000002156524,9.900000014376827
38610,1,inf1946,non-meuble,14.2,17.0,9.9
38640,1,inf1946,non-meuble,14.2,17.0,9.9
38650,1,inf1946,non-meuble,14.2,17.0,9.9
38660,1,inf1946,non-meuble,14.2,17.0,9.9
38700,1,inf1946,non-meuble,14.200000075044802,17.000000090053764,9.900000054805325
38760,1,inf1946,non-meuble,14.2,17.0,9.9
38800,1,inf1946,non-meuble,14.2,17.0,9.9
38950,1,inf1946,non-meuble,14.200000013058629,17.000000015670356,9.900000010446904
38000,1,inf1946,meuble,16.30993356038992,19.548554824731692,11.41586378850221
38100,1,inf1946,meuble,15.700460860278602,18.800565606995345,11.000314198025125
38120,1,inf1946,meuble,15.200000000411723,18.200000000494068,10.600000000329379
38130,1,inf1946,meuble,15.2,18.2,10.6
38170,1,inf1946,meuble,15.20000000685192,18.200000008222304,10.600000005481535
38180,1,inf1946,meuble,15.200000000000001,18.200000000000003,10.600000000000001
38190,1,inf1946,meuble,15.2,18.2,10.6
38220,1,inf1946,meuble,15.2,18.2,10.6
38240,1,inf1946,meuble,15.2,18.2,10.6
38250,1,inf1946,meuble,15.2,18.2,10.6
38320,1,inf1946,meuble,15.2,18.2,10.6
38330,1,inf1946,meuble,15.2,18.2,10.6
38340,1,inf1946,meuble,15.2,18.2,10.6
38360,1,inf1946,meuble,15.200000003207228,18.200000003848675,10.600000002565782
38380,1,inf1946,meuble,15.2,18.2,10.6
38400,1,inf1946,meuble,15.20000000358364,18.200000004300367,10.600000002866912
38410,1,inf1946,meuble,15.2,18.2,10.6
38420,1,inf1946,meuble,15.2,18.2,10.6
38450,1,inf1946,meuble,15.2,18.2,10.6
38560,1,inf1946,meuble,15.2,18.2,10.6
38600,1,inf1946,meuble,15.200000017971032,18.200000021565238,10.600000014376826
38610,1,inf1946,meuble,15.2,18.2,10.6
38640,1,inf1946,meuble,15.2,18.2,10.6
38650,1,inf1946,meuble,15.2,18.2,10.6
38660,1,inf1946,meuble,15.2,18.2,10.6
38700,1,inf1946,meuble,15.20000008027532,18.20000009789954,10.600000057420583
38760,1,inf1946,meuble,15.2,18.2,10.6
38800,1,inf1946,meuble,15.2,18.2,10.6
38950,1,inf1946,meuble,15.200000013058629,18.200000015670355,10.600000010446903
38000,1,1946-1970,non-meuble,15.015863802071495,17.999036563390415,10.5049667915027
38100,1,1946-1970,non-meuble,14.60031432440042,17.500377197705525,10.200230535452047
38120,1,1946-1970,non-meuble,14.500000000082345,17.400000000082343,10.2
38130,1,1946-1970,non-meuble,14.5,17.4,10.2
38170,1,1946-1970,non-meuble,14.500000001370383,17.400000001370383,10.2
38180,1,1946-1970,non-meuble,14.5,17.4,10.2
38190,1,1946-1970,non-meuble,14.5,17.4,10.2
38220,1,1946-1970,non-meuble,14.5,17.4,10.2
38240,1,1946-1970,non-meuble,14.5,17.4,10.2
38250,1,1946-1970,non-meuble,14.5,17.4,10.2
38320,1,1946-1970,non-meuble,14.5,17.4,10.2
38330,1,1946-1970,non-meuble,14.5,17.4,10.2
38340,1,1946-1970,non-meuble,14.5,17.4,10.2
38360,1,1946-1970,non-meuble,14.500000000641446,17.400000000641445,10.2
38380,1,1946-1970,non-meuble,14.5,17.4,10.2
38400,1,1946-1970,non-meuble,14.500000000716728,17.400000000716727,10.2
38410,1,1946-1970,non-meuble,14.5,17.4,10.2
38420,1,1946-1970,non-meuble,14.5,17.4,10.2
38450,1,1946-1970,non-meuble,14.5,17.4,10.2
38560,1,1946-1970,non-meuble,14.5,17.4,10.2
38600,1,1946-1970,non-meuble,14.500000003594208,17.400000003594204,10.2
38610,1,1946-1970,non-meuble,14.5,17.4,10.2
38640,1,1946-1970,non-meuble,14.5,17.4,10.2
38650,1,1946-1970,non-meuble,14.5,17.4,10.2
38660,1,1946-1970,non-meuble,14.5,17.4,10.2
38700,1,1946-1970,non-meuble,14.500000043776806,17.40000005162258,10.200000028767844
38760,1,1946-1970,non-meuble,14.5,17.4,10.2
38800,1,1946-1970,non-meuble,14.5,17.4,10.2
38950,1,1946-1970,non-meuble,14.500000002611726,17.400000002611726,10.2
38000,1,1946-1970,meuble,16.043588055844467,19.226760817163385,11.204966791502699
38100,1,1946-1970,meuble,15.600335282168789,18.700398155473895,10.900230535452048
38120,1,1946-1970,meuble,15.500000000082343,18.600000000082346,10.9
38130,1,1946-1970,meuble,15.5,18.6,10.9
38170,1,1946-1970,meuble,15.500000001370383,18.600000001370386,10.9
38180,1,1946-1970,meuble,15.5,18.6,10.9
38190,1,1946-1970,meuble,15.5,18.6,10.9
38220,1,1946-1970,meuble,15.5,18.6,10.9
38240,1,1946-1970,meuble,15.5,18.6,10.9
38250,1,1946-1970,meuble,15.5,18.6,10.9
38320,1,1946-1970,meuble,15.5,18.6,10.9
38330,1,1946-1970,meuble,15.5,18.6,10.9
38340,1,1946-1970,meuble,15.5,18.6,10.9
38360,1,1946-1970,meuble,15.500000000641446,18.600000000641447,10.9
38380,1,1946-1970,meuble,15.5,18.6,10.9
38400,1,1946-1970,meuble,15.500000000716728,18.60000000071673,10.9
38410,1,1946-1970,meuble,15.5,18.6,10.9
38420,1,1946-1970,meuble,15.5,18.6,10.9
38450,1,1946-1970,meuble,15.5,18.6,10.9
38560,1,1946-1970,meuble,15.5,18.6,10.9
38600,1,1946-1970,meuble,15.500000003594208,18.600000003594207,10.9
