seloger_quartier,code_postal,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
Les Halles,75001,0.22396037727302717,1.6734305461136652,18.778497596405938,26.992673393874377,3.351236597321755,69.65609000880386,6.42219455142619,1578.6116361268798,0.15811159351311724,24.61584294728952,9.760293291427502,18.38118906380969,1.8608678598344834,2.2773382205198955,1.5868569879675274,2.795123282072522,2.206366758311371,1.675100521109936,5.725063068321907,6.676590561493829,7578.931090493922,360.2176995814085
Palais Royal,75001,0.24274434395919836,1.2949803026511617,18.66360798795658,24.86911274339886,5.367403024214314,69.76348423238684,6.349317276604465,1592.4043086993825,0.16031748743873883,26.833785148189314,10.61671406957091,17.50667830973617,2.048469756644799,2.361817252177203,1.789172927810692,2.7506555957196177,2.0156776914053767,1.789172927810692,6.199459936632694,6.555506214935685,12501.922986791447,636.5320631106313
Saint Germain l'Auxerrois,75001,0.6198620212570964,0.5209098481790324,11.668083201533346,75.36828864945385,3.2019935484586672,21.42971780208751,5.840534114220601,1483.7329849608723,0.1790555454212479,26.283675226956802,3.2421965590512825,6.7742097231178,0.14191890329403006,1.2687496130331912,1.0938273121835242,1.6690762593440138,1.2197161642088483,1.1008240512385112,2.5044958285107457,3.989616474791374,178095.70757245374,2312.5052933615025
Seine et Berges,75001,0.5114240469707775,0.6773879087251988,16.182701808205007,54.3005449737058,2.9020241103637914,42.79743091593043,6.2086948823732,1544.6041381580803,0.16424078917265025,39.291878941964214,6.859352422405855,12.225161957248293,1.557579892999723,1.7424896030203083,1.5513685447448178,2.2703173315400336,1.5513685447448178,1.5513685447448178,4.851438040764849,5.37305442102967,30528.605879699986,704.9094525528399
Vendôme,75001,0.17668015781256766,1.3933448925935001,19.963468444358917,24.138442619960898,0.44236157867645226,75.41919580136266,6.448744089859286,1595.9346097165912,0.15209886112618068,37.63768355906705,10.967662202521261,18.999122619422288,2.1950649588986053,2.515837405909407,1.9094953927462828,2.9547007887133545,2.0848875685306796,1.9094953927462828,6.6203977575542945,6.949083749990317,24141.739521565352,663.5131998154775
Montorgueil-Saint Denis,75002,0.14061989615708181,1.7160646853596726,19.70063245543722,18.009663549262463,1.0209283796118527,80.96940807112567,6.499999999999999,1599.9999999999998,0.14999999999999997,27.06379309021681,11.448154076932811,20.432552696021897,2.2275829418994153,2.0031150722470468,1.99623464584542,2.993299206458809,2.0007562126646214,1.99623464584542,6.226932659991883,6.990290064968851,9485.230385199488,427.74332074121355
Sentier-Bonne Nouvelle,75002,0.1497460258667158,1.4289323039272253,19.368872331299247,16.73998296611649,1.7829302539154501,81.47708677996806,6.5363261665449315,1598.0205781844456,0.15150764702636718,31.902070170258852,11.676946758228402,19.78054114426689,2.2795019280784676,1.9999444059609908,1.9850093490799914,3.0,1.9672557557586763,1.9885659713237778,6.264455683119451,6.955821727082454,9510.733249899667,426.58618913651077
Vivienne-Gaillon,75002,0.15901647103599248,1.5593724225424934,20.394229572338965,19.42187669256431,2.7649535015517603,77.81316980588393,6.55484854064402,1596.3751613029078,0.15157190866659992,42.20985959308161,11.496291805734426,19.635502796831915,2.248088981083476,2.1451429570213048,1.814065841307808,2.9862077096840642,1.8461529252122453,1.9052336940817907,6.207297779412588,6.7375943289780995,10707.68270838953,434.53393278409595
Archives,75003,0.2969058403977982,1.0343931696563917,15.483857993805497,33.87149664088529,0.5101536046145897,65.61834975450013,6.266614465489619,1593.5401852169084,0.15868956330089773,9.148193784319812,11.006392603901647,17.26825306685362,2.2151810565190493,2.6915530987614513,1.8417260908171986,3.0000000000000004,2.417563770309534,1.9325689105882073,6.748460246097699,7.350132680897742,14894.347863073384,498.16779713272695
Arts et Métiers,75003,0.23027797602816147,1.5349794386435125,18.55069105952741,26.212073066250337,1.7092171955885838,72.07870973816107,6.54565936994421,1595.271588134954,0.15058708743848437,37.04652657682361,11.017798667739042,18.767649881129802,2.117870418445126,2.1621319974550492,1.7755869583207653,2.950624542411174,2.010575896227959,1.7816286610311465,6.05558937422094,6.7428290996702795,13798.835295100269,584.3689516420504
Enfants Rouges,75003,0.21093016962924394,1.3241573117619088,17.17860960482274,26.62223668271666,0.5207473656267506,72.85701595165659,6.390319047775819,1587.219190388265,0.15449774541179173,31.621308275937764,10.865338223356698,18.49689909812176,2.156602559058746,2.4260507033799215,1.849640688802123,2.8990050126104765,2.410782893224402,1.9459192317467453,6.432293951240791,7.255707137581624,10850.971758425023,434.497049157671
Sainte Avoie,75003,0.19705257895364603,1.663415195606053,19.041655550360762,22.884893071196974,3.034004906593404,74.0811020222096,6.385914137877537,1599.9999999999998,0.1539930051742862,29.406381560671527,10.605553227524478,19.29315686434064,2.0614749101198755,2.5586629768243467,1.9952248485729216,2.9955383740833827,2.4307830781014923,1.9952248485729216,6.615362735517143,7.421546300757796,14504.430156147833,508.37676033642623
Arsenal,75004,0.3806779562934594,0.7538292450553403,15.182951212940358,41.921224445680174,3.21136721269939,54.86740834162045,6.019737367431506,1584.7682468629864,0.1597367789834337,23.32813975934619,9.669027187198362,14.904603375301576,2.0795998807770744,2.564732451829031,1.6355330186862524,2.420339917525824,2.3232362734995315,1.841649373650254,6.279865351292356,6.585225564675609,16278.71469040852,564.4541175494793
Saint Gervais,75004,0.3199793178482534,1.1763240440353104,16.684485420399316,34.57697707111677,2.700535095237788,62.722487833645445,6.453766830444697,1588.3239926057931,0.15395952644511998,18.361656785743556,10.331818966369543,17.488942764388305,2.0549662397386066,2.705390254783147,1.8187083089184706,2.937599845142564,2.5544523627746227,1.9424701168853096,6.579064803440224,7.434522324802496,10533.12954760554,422.56211195618874
Saint Merri,75004,0.2471049909731783,1.5040345860916222,21.94893238404729,32.69937518825709,2.0180906952778708,65.28253411646503,6.5390542960143785,1591.0380778928597,0.15180732823498716,27.57349261773611,10.169370763437271,18.404838446325115,2.0114547579300934,2.3494092113356926,1.6045689430833936,2.9176047265537903,2.258276412448822,1.6685034984206522,5.965432912349179,6.844384637423264,11125.316935155519,407.79067956014467
