,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
FAUBOURG MONTMARTRE,0.18186818565013962,1.6394867299446632,19.072687827606217,20.76836608178394,1.0699866587781293,78.16164725943793,6.479796508550198,1600.0,0.1507071222007431,35.095384457956314,11.399838784894932,20.03680620782688,2.24501765167164,2.101348359952818,1.9090483490857078,2.9999999999999996,2.0459576927102647,1.9635156194218915,6.255414360710165,7.009473312132156,11418.125387061773,449.9566633890867
CLIGNANCOURT - JULES JOFFRIN,0.29595519049364116,1.186249721625735,17.294186711342782,35.25974862396687,1.8771225248033376,62.863128851229796,6.478535360494122,1599.6169360894435,0.1511642179996823,17.49086037441085,10.258016593716128,17.45375208361079,2.0690537125977926,2.404281908287104,1.6967295768814445,2.9809158251730254,2.404281908287104,1.8677889430814236,6.17006519776634,7.2529866765415525,16293.18987157794,576.9750511941868
GOUTTE D'OR - CHATEAU ROUGE,0.2686921254188958,0.9881729856665266,17.450517931588827,32.47777192949122,1.392514690000935,66.12971338050785,6.479220111368047,1591.5661365873548,0.15461625924136496,13.069174282003738,10.942047148089586,17.217106851915993,2.1677066832314678,2.103944371490973,1.898308420983787,2.96637193777708,2.0992704251038345,1.9843144387830778,6.169959475706226,7.049956801663991,9107.709588637978,413.13819363637293
LEGENDRE - LEVIS,0.23186386853155233,1.1651477315425856,18.353490509028983,29.01842726138395,2.034571610412978,68.94700112820308,6.49181191838106,1597.5424567973073,0.15055262895573063,26.450157173614347,11.226766955760024,18.407836577012922,2.2268450825131856,2.6645750288675947,1.9540586815230903,2.9715273044227786,2.501982049065241,1.9540586815230903,6.8454787929038705,7.4275680350111095,16807.219593668204,553.5438624484754
CHAMPERRET - BERTHIER,0.46516316655990325,0.7363382799302048,18.4979551815754,54.04677576402535,6.467054472403603,39.48616976357105,5.981761342082046,1565.4255606297136,0.16956259668617082,18.679834836899254,8.066477135461275,12.256907681091214,1.5888052212146286,2.386655371000846,1.5789083286871737,2.305833374073818,2.3386735181217033,1.5793908193165063,5.5543689209026486,6.223897711512027,13459.338338729483,542.2410905483997
HOCHE - FRIEDLAND,0.25305676043618675,0.9100083275767238,21.009444973398736,32.19515196610275,1.4770316975292919,66.32781633636796,6.429099984834837,1595.8185905222847,0.1526739738780108,39.25684449166117,11.14408369856649,17.368400512333086,2.2812370322482134,2.3149415843984764,1.9622352289122398,2.9321434648972966,2.0724255298549275,1.9622352289122398,6.558413845558929,6.966804223664464,23889.003518854144,706.7232736451459
MUETTE SUD,0.35825940720373833,0.8538652363778172,20.037040373533486,44.32016375884001,3.8599100797455517,51.819926161414465,6.323990963328311,1589.091106703069,0.1571082778418828,10.917164939293537,9.002735835236422,14.962325540562599,1.8432168867126408,2.36643867550125,1.8466256355862207,2.719601546257362,2.3066670694865787,1.8995504262145926,6.056281197800112,6.925819041958532,20600.45083108092,727.6415633312914
PASTEUR - MONTPARNASSE,0.32499587706756616,0.7865166585319978,21.03830757216425,36.41566522620797,3.7220614837195174,59.862273290072515,6.36533134379676,1591.532271301237,0.16004639787649122,20.311323849921436,10.627578790050983,15.769854578393431,2.168491297765399,2.238654435781012,1.2970070873013815,2.8169587949842883,2.193687406450712,1.3806781162099007,5.704152820847793,6.3913243176449015,21192.11107593276,741.0568264850046
GRANGE AUX BELLES - TERRAGE,0.39834274336953107,0.9274858894111743,17.59352373639474,48.796684763377144,2.819133622402395,48.38418161422046,5.768915783430692,1558.6934696883945,0.165356329945173,16.78777167113779,8.292030310983607,13.989954357559583,1.6866150250394085,2.1525823957408656,1.4966740395259925,2.6268194333360624,2.1525823957408656,1.9486343878211252,5.335871460306268,6.7280362168980545,26569.152999607373,707.1932754193597
BIBLIOTHEQUE - SEINE,0.4332598189669789,1.0162938132942116,23.108565586334173,35.35237977530685,17.314392861390154,47.333227363303,5.543780775863923,1648.0240566642256,0.18297804934958214,9.941283665059396,9.645315321404944,14.328179366121475,2.0075476574844595,1.6051915970330963,1.277112809697039,2.5237277256357067,1.5937191319456734,1.449691840273951,4.889852064214595,5.56713869785533,21692.65818526997,649.9345610669341
