conseil_de_quartier,prop_at_flood_risk
OPERA - CHAUSSEE D'ANTIN,0.5872938269749077
OLYMPIADES - CHOISY,0.0
SORBONNE,0.1481569350976909
LA CHAPELLE - MARX DORMOY,0.0
ELYSEES - MADELEINE,0.39899855369975873
DANUBE,0.0
FLANDRE - AUBERVILLIERS,0.0
SAINT - VICTOR,0.36331916417094384
CROULEBARBE,0.0
EPINETTES - BESSIERES,0.006324875687923397
SAINT - PLACIDE,0.0
SAINT - THOMAS D'AQUIN,0.3296578672948896
GAMBETTA,0.0
SAINT - LAMBERT,0.42341159139496315
BOIS DE BOULOGNE,0.07968025265938201
NATION - PICPUS,0.029742332112679692
PLAINE LAGNY,0.0
DIDOT - PORTE DE VANVES,0.0
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,0.0
CHAILLOT,0.20976873633101953
MARAIS - ARCHIVES,0.23052052647033333
AMIRAUX - SIMPLON - POISSONNIERS,0.0
PIGALLE - MARTYRS,0.0
CITROEN - BOUCICAUT,0.7014717743356645
SAINT - GERMAIN DES PRES,0.8415630482207965
BEL - AIR NORD,0.0
AUTEUIL SUD,0.261905647526259
PONT DE FLANDRE,0.0
SAINT - PHILIPPE DU ROULE,0.2626767412651722
TERNES - MAILLOT,0.0
TRIANGLE D'OR,0.44265415825369714
MARTIN LUTHER KING,0.024497773125800964
BAS - BELLEVILLE,0.0
BLANCHE - TRINITE,0.030888700736100158
RENNES,0.01755116298328409
MANIN - JAURES,0.0
FAUBOURG MONTMARTRE,0.040681586918074775
CLIGNANCOURT - JULES JOFFRIN,0.0
GOUTTE D'OR - CHATEAU ROUGE,0.0
LEGENDRE - LEVIS,0.0
CHAMPERRET - BERTHIER,0.11146368270066541
HOCHE - FRIEDLAND,0.0
DAUPHINE,0.0
SECRETAN,0.0
JARDIN DES PLANTES,0.5314215027686608
LA FOURCHE - GUY MOQUET,0.0
CHARLES HERMITE - EVANGILE,0.0
JEAN MOULIN - PORTE D'ORLEANS,0.0
INVALIDES,0.3333539610407668
LOUIS BLANC - AQUEDUC,0.0
NOTRE - DAME DES CHAMPS,0.0
ITALIE - PEUPLIERS - RUNGIS,0.0
JARDIN DE REUILLY,0.3284762497479748
SAINT - VINCENT DE PAUL - LARIBOISIERE,0.0
PLATEAU,0.0
MONTPARNASSE - RASPAIL,0.0
MUETTE SUD,0.3357684269900999
PASTEUR - MONTPARNASSE,0.0
GRANGE AUX BELLES - TERRAGE,0.0
BIBLIOTHEQUE - SEINE,0.6597302673675931
SENTIER - ARTS ET METIERS,0.0
CHATEAU D'EAU - LANCRY,0.0
SALPETRIERE - AUSTERLITZ,0.19553185807669987
NATIONALE - DEUX MOULINS,0.0
NATION - ALEXANDRE DUMAS,0.029224071965282438
BELLEVILLE - SAINT-MAUR,0.0
TEMPLE - ENFANTS ROUGES,0.0
MARAIS - PLACE DES VOSGES,0.02642886163157837
MONTSOURIS - DAREAU,0.0
DUPLEIX - LA MOTTE PICQUET,0.69534625367965
LEON BLUM - FOLIE-REGNAULT,0.009444159692208472
BASSIN DE LA VILLETTE,0.0
COURCELLES - WAGRAM,0.0
VIOLET - COMMERCE,0.8913483951327471
PLACE DES FETES,0.0
ODEON,0.018064990444087808
MASSENA - JEANNE D'ARC,0.03797958427437436
TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,0.0
ALIGRE - GARE DE LYON,0.7288932145386657
ALLERAY - PROCESSION,0.0
AUTEUIL NORD,0.3477234866960082
VAUGIRARD - PARC DES EXPOSITIONS,0.48503402554943115
BEL - AIR SUD,0.0
LOUVRE - OPERA,0.3130512806150453
VALLEE DE FECAMP,0.057476447869414436
CAMBRONNE - GARIBALDI,0.0
HALLES - BEAUBOURG - MONTORGUEIL,0.043596025393606776
MUETTE NORD,0.045564735943274245
PORTE DES LILAS,0.0
EMERIAU - ZOLA,0.8623837413692984
PORTE SAINT-DENIS - PARADIS,0.0
GEORGES BRASSENS,0.0
MONTMARTRE,0.0
ROSA PARKS - MACDONALD,0.0
REUNION - PERE LACHAISE,0.0
FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,0.0
SAINT BLAISE,0.0
PEREIRE - MALESHERBES,0.016946351188894166
REPUBLIQUE - SAINT-AMBROISE,0.0
PERNETY,0.0
EUROPE,0.060998404631722375
GROS CAILLOU,0.48512189045124393
GRANDES CARRIERES - CLICHY,0.0
MAIRIE,0.2831118476246696
SEINE,0.6537404896641617
MONNAIE,0.6428864310417385
BASTILLE - POPINCOURT,0.6958641242659782
BELLEVILLE,0.0
AMANDIERS - MENILMONTANT,0.0
BERCY,0.5581599690058986
ECOLE MILITAIRE,0.0
MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT,0.0
BATIGNOLLES,0.0
MONCEAU,0.011865426562559985
ANVERS - MONTHOLON,0.0
MOUTON - DUVERNET,0.0
VAL DE GRACE,0.0
