conseil_de_quartier,prop_at_flood_risk,mean,median,mode,std,mean_delta,median_delta,mode_delta,0.0_delta,0.1_delta,0.25_delta,0.5_delta,0.75_delta,0.9_delta,1.0_delta
OPERA - CHAUSSEE D'ANTIN,0.5872938269749077,0.5872938269749077,1.0,1.0,0.4923208179348857,-0.41270617302509227,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
OLYMPIADES - CHOISY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SORBONNE,0.1481569350976909,0.1481569350976909,0.0,0.0,0.35525548226614256,0.1481569350976909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LA CHAPELLE - MARX DORMOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ELYSEES - MADELEINE,0.39899855369975873,0.39899855369975873,0.0,0.0,0.48969246251628124,0.39899855369975873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
DANUBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLANDRE - AUBERVILLIERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SAINT - VICTOR,0.36331916417094384,0.36331916417094384,0.0,0.0,0.480955662319377,0.36331916417094384,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CROULEBARBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EPINETTES - BESSIERES,0.006324875687923397,0.006324875687923397,0.0,0.0,0.07927718231279232,0.006324875687923397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SAINT - PLACIDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SAINT - THOMAS D'AQUIN,0.3296578672948896,0.3296578672948896,0.0,0.0,0.47008888289926043,0.3296578672948896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
GAMBETTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SAINT - LAMBERT,0.42341159139496315,0.42341159139496315,0.0,0.0,0.49409939857011353,0.42341159139496315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
BOIS DE BOULOGNE,0.07968025265938201,0.07968025265938201,0.0,0.0,0.2707975442937381,0.07968025265938201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NATION - PICPUS,0.029742332112679692,0.029742332112679692,0.0,0.0,0.16987561859542633,0.029742332112679692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PLAINE LAGNY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DIDOT - PORTE DE VANVES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CHAILLOT,0.20976873633101953,0.20976873633101953,0.0,0.0,0.40714348034704756,0.20976873633101953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MARAIS - ARCHIVES,0.23052052647033333,0.23052052647033333,0.0,0.0,0.4211660163714229,0.23052052647033333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AMIRAUX - SIMPLON - POISSONNIERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PIGALLE - MARTYRS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CITROEN - BOUCICAUT,0.7014717743356645,0.7014717743356645,1.0,1.0,0.457612416949146,-0.29852822566433546,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
SAINT - GERMAIN DES PRES,0.8415630482207965,0.8415630482207965,1.0,1.0,0.36515022126532776,-0.15843695177920347,-0.0,-0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
BEL - AIR NORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AUTEUIL SUD,0.261905647526259,0.261905647526259,0.0,0.0,0.4396715584616658,0.261905647526259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
PONT DE FLANDRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SAINT - PHILIPPE DU ROULE,0.2626767412651722,0.2626767412651722,0.0,0.0,0.44008825349409403,0.2626767412651722,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
TERNES - MAILLOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TRIANGLE D'OR,0.44265415825369714,0.44265415825369714,0.0,0.0,0.4967005681841002,0.44265415825369714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
MARTIN LUTHER KING,0.024497773125800964,0.024497773125800964,0.0,0.0,0.15458859025710062,0.024497773125800964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BAS - BELLEVILLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BLANCHE - TRINITE,0.030888700736100158,0.030888700736100158,0.0,0.0,0.17301615214463592,0.030888700736100158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
