conseil_de_quartier,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
TRIANGLE D'OR,14.110471773076016,952.3068666219157,33.31132649252831,38.87711313106448,0.6628585648796107,7.595442698532246,19.55226966191449,64.50962004914602,0.7525227652386142,0.0,18.778998791406785,2.8125846316509686,27.958448187858643,49.69744562384499
MARTIN LUTHER KING,15.838775527106257,578.7722637721531,17.05294442971569,55.20159295027577,0.316750990104423,1.562801427403236,25.86475223917354,70.0967072435903,0.0,0.0,18.419920598325724,1.8632671284595879,63.31590014367147,16.400912129543222
BAS - BELLEVILLE,16.116430908634015,363.17705107689034,42.27427886832943,33.33970661858551,0.47341623259754495,0.04200963156155689,23.871850302282546,87.55787607466482,0.0,0.0,0.0,30.225919669990425,16.157550600598803,53.61652972941077
BLANCHE - TRINITE,16.37832602842117,301.0421248624747,56.79710032574232,33.50038123522645,0.5142206779837681,0.04563050384838899,9.14204079870911,69.72777572042524,0.0,0.0,1.2580072631143568,0.0,17.550193787841916,81.19179894904374
RENNES,17.829023476182567,226.6470802432481,51.712980086420586,37.32545250533175,0.45621508095305635,0.040483249504366776,10.465592765908529,61.89248594816429,0.0,0.0,1.6170280502345356,0.0,15.571394442723863,82.81157750704158
MANIN - JAURES,13.62649566630251,814.8158979219004,30.30319484479117,40.14494406999003,0.5951388994133118,1.5143834768968012,27.442205892262972,74.75895103732013,0.5593736434250398,0.8047511248447384,14.696711874658144,10.675548093431395,42.85940094699505,30.40421431664563
DAUPHINE,14.853364131920525,434.36539904408704,38.62526958664541,38.70085891920947,0.6009014377228016,0.043556016263442514,22.029673973730915,81.39801203785923,0.3773372480985087,0.0,10.596629709029411,5.356862165051527,25.648788241252436,58.020382636568115
SECRETAN,15.37004289646911,313.13474238478017,39.95837411170329,33.89762212300225,0.3996079797878676,0.035899582024263375,25.708882764147006,87.9339036102194,0.0,0.3851925642746222,0.053596128620915603,22.570607476420598,23.562193927895287,53.42840990278857
JARDIN DES PLANTES,11.906616612064989,314.49221552417913,31.352181279231576,30.190635348260475,0.4363102203314524,3.2481288951873744,34.771905926659144,76.84563941211186,1.2687855796466854,2.105938099171045,24.916190368607875,8.191129194710804,21.83982258968716,41.678134168176435
CROULEBARBE,14.38285984660184,290.95905197234947,35.172462278009085,34.35097276140174,0.3835120214226544,0.033991229667903834,30.059455023360574,84.94448987080878,1.5599361903529663,0.6231247065399346,8.060490072616577,22.70038395200108,21.550883771655645,45.505181306833805
EPINETTES - BESSIERES,13.520962324781516,376.82444067169087,20.4528742716724,50.4379842914133,0.7139555690294854,0.1109004367584103,28.28275212335443,67.81533491369372,1.0586690699782269,0.0,14.751235207614146,36.38375367344599,33.78684036360665,14.019501685354992
SAINT - PLACIDE,15.547393386124819,262.03379622040114,53.279770158586985,34.735856244370034,0.373942225947696,0.03318258660286722,11.57557579505838,82.62814364096862,0.0,0.0,0.0,1.6808700761823714,14.633207465042688,83.68592245877494
SAINT - THOMAS D'AQUIN,14.74047686348793,564.288974693446,44.624902225084966,29.90746896564572,0.37233214230813066,4.1675488695029745,20.928788164569593,67.57466596257804,0.0,0.0,12.971139581841072,2.996689919588205,16.39414236504256,67.63802813352817
GAMBETTA,13.525001638701283,345.2488099231542,32.09807270705877,38.6646319178505,0.630802680373578,0.04927037162960448,28.557422399987683,77.6262214923436,1.460915529572294,1.44582515484996,8.865576689138878,14.120632240462168,34.801374653700336,39.30567573227639
SAINT - LAMBERT,14.927393301758162,607.0608021935418,44.35166556370417,36.88251399663789,0.44064355650126497,0.035858038314112564,18.28846567781571,79.42507442363522,0.0,0.0,5.961739699486094,7.253264167987472,27.412319932429885,59.37267620009654
BOIS DE BOULOGNE,5.105232382673571,195.73159677146305,1.6731782295563906,16.18295469796428,2.7721062210185043,5.440759377880765,73.92730718822699,74.23360815708571,3.0712047881496676,0.0,89.8448137174435,0.22160399563562533,6.806801316324076,0.05557618244714934
NATION - PICPUS,13.310036229662316,414.62011588666877,39.14351023433175,34.792778892932404,0.41507175495757614,0.033900504238126086,25.61903108257642,78.39374199413491,0.0,0.0,4.312203624033381,12.969212653535852,25.610301759915817,57.108281962514965
PLAINE LAGNY,13.684456995432125,396.16058577285196,28.464294032012575,42.15888217787427,0.5816504679735398,0.04986913087418588,28.746247492666818,78.16703308060055,0.0,0.0,13.30760010656052,19.251930629301704,33.859294945028076,33.58117431910969
