seloger_quartier,code_postal,hre,are,bur,ror,bsr,war,ver,vhr,Faible Sensibilité,Forte Sensibilité,Sensibilité Faible à Nulle,Sensibilité Moyenne,Sensibilité Variable,Très Forte Sensibilité
Les Halles,75001,17.04127857254588,1143.1017346050003,52.82034382662435,33.42982209871954,0.5654106527892777,0.05017295895058437,13.13446070318728,45.48412093957197,0.0,0.0,8.83459518814291,0.0047926927683224416,24.28510887225079,66.87550324683798
Palais Royal,75001,17.81993125625153,436.06689709504525,52.587863721899836,35.03541475172405,0.5267787388470294,0.04607139063965593,11.805495645998707,34.70878607695859,0.0,0.0,6.899641699425809,0.0,18.224227393185124,74.87613090738908
Saint Germain l'Auxerrois,75001,15.420188439676986,822.8983480301193,18.23084289368459,44.911685121269606,0.7104439545338325,0.028383967395635507,36.1245829142024,49.034189789601825,0.0,0.0,47.28521875469364,21.155206604170235,16.10883056645897,15.450744074677157
Seine et Berges,75001,4.579964121955211,184.98882133276277,4.894544189897249,27.241031078305873,1.1624698625840197,55.961670352947834,10.741720155793407,58.08738841163127,0.0,0.0,61.122610467293455,2.045515676298887,34.56372892562157,2.2681449307860704
Vendôme,75001,16.982386241317048,496.3734207074159,58.77663231760934,32.18271495647901,0.4763626135222816,0.04165827440995857,8.52257881118352,43.182093008404394,0.0,0.0,1.5049625408284424,2.009340734409259,35.322738366162504,61.162958358599795
Montorgueil-Saint Denis,75002,17.012454836883837,206.7014662487498,62.98245426493743,30.03137897261249,0.5659281168935544,0.05021887726700482,6.369912377233846,51.64358345927264,0.0,0.0,0.0,0.5167770511866915,19.314952795001854,80.16827015381146
Sentier-Bonne Nouvelle,75002,16.00646683723111,279.6894585230067,60.025078405481295,32.36731142135895,0.5694962433924367,0.050535502826632606,6.987274491544683,51.83178371299722,0.0,0.0,0.0,0.0,23.625025493228733,76.37497450677128
Vivienne-Gaillon,75002,17.49614071092025,1062.4686752941875,57.704002292252234,34.56948385501575,0.5854055546202169,0.05194725058063358,7.089116779610559,46.54989837219577,0.0,0.0,0.5201537663467922,0.0,28.14917660720648,71.33066962644675
Archives,75003,14.244574977650949,393.8343463425598,54.90358255698862,32.792044223809256,0.3586188074215686,0.03182282932751121,11.913643378429692,75.33317704212273,0.0,0.0,3.55885555683767e-05,5.101939063584384,21.099462897324003,73.79856245053602
Arts et Métiers,75003,15.737205097893309,291.05089048294855,55.141674979933434,34.584593265721075,0.5483000299200799,0.04865461016355657,9.677162782330328,70.16624458235188,0.0,0.0,1.6634826493238208,0.0,31.818789657129944,66.51772769354622
Enfants Rouges,75003,15.484678244839454,284.63661958111834,56.993454244746324,32.47105492128062,0.45341808518419974,0.040235051927608165,10.041745925468812,71.61224477328209,0.0,0.0,3.928055035770196,0.0,19.31297888416471,76.75896608006511
Sainte Avoie,75003,17.0307352247808,313.2419407984076,61.67798487334699,30.16414928079209,0.4134513787220984,0.03668851824837733,7.705973069596855,66.45281744934454,0.0,0.0,0.0,0.0,14.110968557068205,85.88903144293178
Arsenal,75004,14.33640545691834,289.0931595462334,39.621096226671646,39.179288087373685,0.4075724459966372,3.230569673163512,17.562847336265357,73.16439780733019,0.3066813360159566,0.0,14.57745064678799,12.44437980614324,18.332030627083366,54.33945758396946
Saint Gervais,75004,14.855860217383668,347.6683467811,49.32460452729657,37.791663563257,0.4658689653796532,0.041339908190685955,12.378158271182905,62.37821269870451,0.0,0.0,0.31214956517383985,8.473986004952765,25.102411982194223,66.11145244767917
Saint Merri,75004,16.593273329430502,1393.5700088288015,50.16543009622109,36.93623483552224,0.7606851502216312,0.06750107135072496,12.070745323424914,58.1868468065875,0.0,0.0,3.3740428065810497,0.0,32.38772213815153,64.23823505526741
Seine et Berges,75004,4.882548872747468,55.953927263886406,7.422289851228893,26.784245840703218,1.1082070726181508,52.43222713018248,12.253685762260938,63.70756626309661,0.010483580092383961,0.0,61.03487892715334,2.854547342869564,27.63630280153663,8.463787348348081
Île Saint Louis,75004,16.27108376196617,138.15851742614217,63.40755416777999,30.395022029542343,0.3509374848348523,0.3341573715297663,5.511362637355459,61.43223443024645,0.0,0.0,0.3318849678200885,0.0,11.662928962242828,88.0051860699371
Île de la Cité,75004,12.1587407221582,1011.0365345148896,37.06619574937632,40.15514473883369,0.6238019540021774,9.912253750207826,12.244210626611663,86.14567586246534,0.0,0.0,19.25106857912368,0.0,46.85433232454656,33.89459909632976
Jardin des Plantes,75005,12.43875496644269,330.2450175264353,33.02907934752848,30.567062200165612,0.39882445564039887,0.03401042073792129,35.970122199616526,76.99822650560493,1.3260366759314073,2.200435631950027,22.55197686097467,8.578526154487529,21.257442970222588,44.0855817064338
Saint Victor,75005,18.14748529738931,838.9984952922346,42.55003434857256,38.40953724318471,0.42492167447066054,0.04030242734437346,18.575980099587497,74.26226958696837,0.0,0.4802589617384151,2.4381240517078187,6.468340723879934,15.239108314577889,75.37416794809593
Sorbonne,75005,15.787384470510004,681.5729956158183,45.878052127397325,40.602353381760544,0.6331729970393615,0.20541876610709894,12.681533789453793,56.673530663273205,0.0,0.0,1.048673840076652,10.71527867027924,41.871793575373445,46.364253914270655
Val de Grace,75005,15.116555570883458,294.5869786882174,44.834940663050446,37.051653232962124,0.4008744413624271,0.031201229403338356,17.680226908944572,84.21051067224907,0.3968098620741883,0.0,1.2453609507175725,15.430998230434588,17.467309143290635,65.45952181348301
Monnaie,75006,13.372126224456697,389.634803216322,46.07051969351981,37.02905899062787,0.7020148411913674,6.891075337042961,9.307911633383526,67.65787372313929,0.0,0.0,7.414101002571858,0.9313288409122458,35.725686599529865,55.92888355698603
Notre Dame des Champs,75006,16.43649509413592,220.07694965541714,48.51214234028185,36.31137485747876,0.49496587407686093,0.04391826853012509,14.638704498549789,80.8946041652067,0.0008185575665140428,0.0,0.040771025835875316,3.5885788215860424,16.968942834157925,79.40088876085366
Odéon,75006,11.091196615846448,524.280496277158,32.55094257668689,30.77587766513593,0.3691365489727755,0.02748326640322599,36.277672390510546,70.68269606789127,0.2423190978793824,0.0,33.1543742601497,0.0,31.849518390862517,34.75378825110842
Rennes,75006,18.01046243425955,206.46105172930137,51.039429699131404,37.98871789793902,0.512944901011281,0.04551729497028432,10.415224823961383,53.11294445661954,0.0,0.0,3.3012281968772004,0.0,17.506651911647815,79.19211989147499
Saint Germain des Prés,75006,16.15998561192846,278.99342710209385,55.08477699281782,34.05278584345424,0.4832894617541841,0.04288575428535422,10.33548547891998,81.69064817429513,0.0,0.0,0.0,0.0,23.42489745256549,76.5751025474345
Saint Placide,75006,16.19457667900148,298.6287012483027,51.390155154376814,35.29073160989377,0.3962501106017749,0.035162125855447604,12.886564344983885,81.36327907897575,0.0,0.0,0.5742658323151465,1.2296270168233472,15.783404936366116,82.41270221449537
Ecole Militaire,75007,12.030184984809528,616.4330258758442,33.74585452268805,42.78487636127204,0.6026290499524015,0.053330255946422864,22.810995667832387,73.01472966418625,0.0,0.8547088640098843,5.776606182148855,1.313063998715842,49.88869181248201,42.166929142643404
Gros Caillou,75007,14.703820741691043,237.53860874585934,35.38188560733747,35.13242732893828,0.8287814015935254,0.05060135331809955,28.60559938411242,73.66401063008193,0.0,0.0,19.157735950289208,5.426848275865732,23.711086603571836,51.70432917027321
Invalides,75007,12.394808713220543,511.89549734317865,31.258899384246078,37.29445759260746,1.0241092124865845,0.028650251450391684,30.394493987262994,72.98693583293769,0.7008966302537469,0.0,24.815093481079202,7.031858605771123,33.917058794416256,33.53509248847969
Saint Thomas d'Aquin,75007,15.527779907375384,597.1294821021661,47.1992736682844,30.75688480731893,0.33175840021011843,0.04449942654865885,21.66868539138284,69.25993010851585,0.0,0.0,8.897788008967938,3.164830479095281,16.65898761598401,71.27839389595276
Seine et Berges,75007,2.7343209885218034,31.850627640413997,1.7172129618577796,30.41194245331185,1.1055873736038253,55.737410064819684,11.026890893143978,42.978662946198085,0.0,0.0,59.685045670809316,0.0,40.20844254246974,0.10651178672095242
Elysées-Madeleine,75008,16.74779650064779,510.89803297862045,47.98056072498973,34.15923546872781,0.4095399057396424,0.034934807800049504,17.415200555319554,64.87264931152225,0.0,0.0,0.9386475432623272,15.83368504467215,21.674967520873555,61.55269989119196
Europe,75008,17.02915451888854,957.7416328196215,49.688466088244574,43.84780669995275,0.47016586191861043,0.041721202764108775,5.948259239333542,58.94091440423783,0.0,0.0,0.0,1.7437973792758532,51.232617034290456,47.0235855864337
Hoche-Friedland,75008,17.550852481080177,337.5322943819214,48.76310711082684,38.220441897723546,0.5070184976031683,0.044991402517687296,12.463710903851146,78.9943927718004,0.0,0.0,1.6896786130828114,2.8635352351586305,19.32312451747006,76.12366163428848
Mairie,75008,18.034028663288474,402.34557928070035,49.62949893713926,39.983481683185275,0.5134819974170696,0.0455649554021973,9.829467457344153,66.60338696850032,0.0,0.0,1.1352206689654734,1.194689075100982,21.152671991413307,76.51741826452024
Parc Monceau,75008,16.897650465810123,319.4558023432758,39.3692321762385,32.06873139151897,0.4241382046788042,0.3604896052630723,27.780018810194846,71.12799557771787,0.0,0.0,22.450661212870834,0.3030049120074678,12.463552943177264,64.78278093194443
Saint Philippe du Roule,75008,17.06298161388829,354.67094896298045,55.383635831851336,35.20770802276639,0.4544488177759647,0.04032651625315727,8.915681116766361,79.21864932174749,0.0,0.0,0.0,0.9485013469027161,18.43981241181341,80.61168624128385
Triangle d'Or,75008,13.879570618084413,944.6960782305921,32.083223486953855,40.21475418813959,0.6569073077432117,2.2649824820391475,24.780218194122305,67.0310563652433,0.7128969787982393,0.0,19.84898122866192,2.7281388653946177,29.683469217189256,47.026513709955964
Clichy-Trinité,75009,16.258076466836304,293.93653328416815,56.26387937716639,33.81110066987237,0.5286276846502567,0.04690894130002277,9.348844233421174,71.17857705678668,0.0,0.0,1.261211768016429,0.0,18.041900500008758,80.69688773197483
Lafayette-Richer,75009,16.91607481598039,433.6461699534357,59.20725520357354,34.56313409570032,0.50743924257014,0.045028738248544836,5.676433445602942,49.14660607682402,0.0,0.0,0.0,0.606004402399442,19.787543983744687,79.60645161385587
Lorette-Martyrs,75009,16.470240429687014,256.8247113958994,58.624104954722576,32.26267440935723,0.3660522253217881,0.03248245002855458,8.712888253522394,72.40033005622712,0.0,0.0,0.0,0.0,12.55570154929648,87.44429845070354
Provence Opéra,75009,19.2652831560323,760.7797852635404,57.993362566053555,36.50555031980968,0.42498759436485967,0.03771220973886127,5.038045957349635,49.558372571058996,0.0,0.0,0.013993260254648537,0.3391749840254777,27.18368941391539,72.46314234180448
Trudaine-Maubeuge,75009,17.514727511564224,296.0215194531188,53.603649218400136,36.24196815248979,0.5973464852824633,0.05300685534929708,9.503359768230935,75.39269363943129,0.0,0.0,1.444386672453768,0.0,27.211837487543917,71.34377584000231
Chateau d'Eau-Lancry,75010,15.402019343951832,452.75104936616134,54.98559880473172,35.45932201460391,0.4896093017316438,0.04341773498910029,9.02291000937305,72.31398784180764,0.0,0.0,1.7298057021528968,1.0033915946694878,20.819836272589274,76.44696643058833
Faubourg du Temple-Hôpital Saint Louis,75010,13.323863955395291,439.732077821164,48.439624231238206,32.81936988698423,0.34783427246221793,2.3414096905961888,16.051295477319684,80.881312986215,0.0,0.0,5.112312639985297,1.197092051157489,31.913748799359233,61.77684650949797
Grange Aux Belles-Terrage,75010,13.626430715657598,414.4160208414979,37.764093639604376,35.46568408100793,0.4905108874353437,5.539408734903608,20.740095098586774,81.81834631369367,0.0,0.0,14.051953746459027,15.689018436020628,26.215824026373742,44.043203791146595
Louis Blanc-Aqueduc,75010,16.088834932541456,969.3968795205694,45.5533632702259,45.23861376277794,0.40429302857290783,0.13127475171353378,8.672306839213366,70.05909503711085,0.0,0.0,0.19916267187164524,1.230086549998849,40.630874958694825,57.939875819434654
Porte Saint Denis-Paradis,75010,15.788310113558982,326.80174264591125,60.77956730276989,32.355888361760826,0.30305553717347244,0.026892300226997554,6.535272647473582,64.29452226288745,0.0,0.0,0.0,4.08465043153689,10.343192394999058,85.57215717346405
Saint Vincent de Paul-Lariboisière,75010,15.310217763591885,718.796712758982,45.64958655396163,47.14440747241079,0.46818400822407513,0.041545338613740455,6.695186306904623,51.15737481629469,0.0,0.0,0.5890212147924849,0.0,48.244863446487386,51.16611533872012
Bastille-Popincourt,75011,14.046940634645672,310.35535470483694,54.42224796087775,33.74502316967825,0.4133932683331092,0.036683361695088186,11.382921866597082,76.484424234654,0.0,0.0,3.0105799811891103,0.0,15.928346158074183,81.0610738607367
Belleville-Saint Maur,75011,14.601476836791582,543.0452256317623,53.10894070105211,34.94000400225284,0.43560584133738794,0.038654443258607805,11.477510845313628,83.11502031363153,0.0,0.0,0.0,0.0,18.469129623452613,81.5308703765474
Léon-Blum Folie-Regnault,75011,14.604024135256418,294.6583459733481,47.59162845000662,34.61054008599259,0.42753275241959265,0.037938059941670335,17.33200782818031,75.51510419455362,0.0,0.0,3.935864642513823,8.345388601869244,17.98451043632125,69.73423631929566
Nation-Alexandre Dumas,75011,15.416354977527087,264.75165310559936,45.884585829465934,35.72956302906655,0.43841778826738775,0.037582234482321716,17.91140618967233,79.75363534221759,0.0,0.0,1.5938268663578583,3.092857292190377,15.524946962741977,79.78836887870978
République-Saint Ambroise,75011,13.67516931517421,335.4895108717693,50.56915189182409,34.30309553011973,0.5133151135650281,0.0455501465962141,14.568813208652397,75.82136566700434,0.0,0.0,5.390893881124471,1.1733750465370683,21.729656383094806,71.70607468924368
Aligre-Gare de Lyon,75012,15.385015481541688,405.6513007208556,42.085366272080975,43.34293348593662,0.4427854254223557,1.078236800264591,13.050486100862043,76.56085597802935,0.0029338235378104857,0.1488519896187641,2.642608148057003,9.516399488066334,34.18962031618288,53.49958623453722
Bel-Air Nord,75012,13.91807323094979,319.3290822933684,30.943200948409867,43.45960185117229,0.612919132415046,0.054368671908984444,24.93079137670264,79.29145404637701,0.0,0.0,1.5488584941318422,30.59439719766643,26.53961186198275,41.31713244621895
Bel-Air Sud,75012,13.685344316780105,388.68361233407256,27.450752817650518,37.68723815534497,0.5376267880651548,0.04765489251923647,34.27712375436852,79.16777381290356,4.981603743931773,0.0,5.86472013515821,28.604089242276846,37.825250748889246,22.72433612974391
Bercy,75012,11.208156859796398,967.9903793084832,24.521505615755,53.44383271311149,0.3789804497798497,0.22503725261334934,21.430930621074236,63.50334600229331,0.8839335552340376,0.0,9.429738767723412,5.481882246697287,70.83916076728305,13.365284663062193
Bois de Vincennes,75012,5.218250793791091,304.71546379899735,2.982355904156845,15.266098437569402,1.3506718053397853,2.376877074265609,78.02635978790364,76.98990979851801,2.377107615581094,0.0,87.9788130827027,0.9204612963681154,8.708707354427263,0.014910650920832675
Jardin de Reuilly,75012,15.00204093566218,450.0023750676988,34.47555980250916,45.91131030247729,0.3033312826350992,0.03910036737446784,19.271143923935938,70.34250329022953,0.46637445624231116,0.0,4.198601529063034,16.93254041522406,35.6766802114316,42.72580338803898
Nation-Picpus,75012,13.332585507188014,404.88482165465894,37.79501663561945,35.10768652700132,0.4353766927901774,0.035612762867110695,26.630210948341436,77.24509461050006,0.0,0.0,4.303794548759476,14.256525895334017,26.09742604734807,55.34225350855842
Seine et Berges,75012,4.809688501076618,105.8426372459877,2.5044466366239453,30.90578194815235,1.049259926848175,53.20295792382734,12.336641973929495,40.18880935623388,2.5913027547699565,0.0,55.62655976379983,0.24086063194937418,41.07571201836544,0.4655648311154091
Vallée de Fécamp,75012,15.789095796649232,299.0356085648957,39.58537619574454,37.28342014198283,0.38487375328517665,0.0341526197454423,22.71168405395571,77.78373921176338,0.0,0.0,0.0,38.153531881006984,19.274977489732525,42.57149062926048
Bièvres Sud Tolbiac,75013,12.934142280409546,332.059840378675,26.946125330877237,42.56666360000308,0.753197471219094,0.04654618583779505,29.68656878941638,74.84786258862724,0.3573335266263232,0.0,8.180407919810124,27.405860344377754,40.16551059670928,23.890887612476504
Buttes Aux Cailles-Glacière,75013,14.818411004349963,313.3048777613978,39.5566166093542,40.37995552286458,0.5284108037091054,0.04688969589227557,19.488412887221237,82.46161105883863,1.315195298693119,0.3021682961844592,0.42483526673506816,17.891554229300645,28.472217703385734,51.59402920570096
Croulebarbe,75013,14.6046750059167,298.5446831593569,36.14406786304793,33.493616973255776,0.3190311312679631,0.02826781930862534,30.0153615491153,85.9241195290908,1.6198130979992267,0.6470428518694257,8.369885561128486,22.731705278267547,19.418068440494448,47.21348477024088
Dunois-Bibliothèque-Jeanne-d'Arc,75013,17.893798936261575,2261.162526923923,37.014118731817874,42.444588768007456,0.5120128466806211,0.045434607243227905,19.98238895929029,69.28921170152222,0.0,0.0,3.2517141702254877,15.769774301937037,29.536644580294862,51.44186694754261
Nationale-Deux Moulins,75013,15.696506821160686,452.5270278644969,25.073743617703034,36.635729478228185,0.4989522931252065,0.03407391060962327,37.758376382962666,73.87494463713705,6.43371677013259,0.0,10.351646348088346,36.08876075238062,31.650288821063505,15.47558730833493
Olympiades-Choisy,75013,18.42695403495089,499.9165420186804,28.898886466310362,43.659291086087876,0.5499540251257302,0.047030208391294306,26.84456159396383,73.65162206572322,0.10171645256280132,0.0,1.9419817720065677,37.36497077800598,39.56930687594236,21.02202412148229
Patay-Masséna,75013,15.112192839827241,576.7428282191979,31.75651397595228,45.65162510733818,0.5488740034640301,0.04868552570659075,21.994965345579452,72.20468153585637,1.1343882167153516,0.664270445584346,4.191982155170185,20.893769453059463,40.73331018616072,32.382279543309956
Salpêtrière-Austerlitz,75013,14.035927390597285,799.9525988052313,35.095409910471105,45.32393004532965,0.3477839218981462,0.028708657408702914,19.206235860802654,74.32439582920334,0.0,0.0,0.0,12.057411286725099,61.83416752237783,26.10842119089707
Didot-Porte de Vanves,75014,14.033224804101353,384.4074937832237,28.865738394133473,41.561814334941964,0.5408087605718448,0.04751456677788729,28.986172041266048,79.91758603266167,5.598463457584824,0.0,0.9296850127304462,28.766461914418365,31.780449949305922,32.92493966596045
Jean Moulin-Porte d'Orléans,75014,12.525983510686295,340.25403335310784,32.52778150148123,41.92846602482975,0.6552400540280133,0.05518242005009183,24.83475602069673,72.62621553591083,0.011710560748500768,0.0,5.456926088156763,11.214444506899124,40.532554703709685,42.78436414048593
Montsouris Dareau,75014,11.787707315351758,349.9444058176057,23.034074924737368,34.02021992908505,1.223843852069589,0.7133382501997405,41.0057240532963,75.9110548062616,1.0213745103155587,0.1099604929038144,20.957421429744926,34.07941523349641,25.954621075736583,17.877207257802702
Mouton Duvernet,75014,13.299397485772074,165.53932784464624,42.51053488034824,39.16814000150461,0.5401087393927299,0.04792773796659036,17.732190388953207,79.86459521696672,1.537499238574984,0.0,2.2340276756761526,7.354834514803214,22.15756462116395,66.71607394978169
Pernety,75014,14.567708587062288,285.0541070112911,41.239257655178726,42.52405690034188,0.42344551376923906,0.03757536982252633,15.774007858593528,76.20634000998172,0.23565192112233382,0.6248870714576125,3.6949409476268045,4.8123945511392385,27.622034090367762,63.01009141828626
Raspail-Montparnasse,75014,14.740306904598066,555.0819082191027,30.117564644621776,38.40013186018438,0.38949393666565607,0.034334610239729606,31.05596240898856,78.74381844479373,0.9436605132134117,0.0,23.13180185184572,16.89497479234511,20.203074605773534,38.826488236822215
Alleray Procession,75015,16.20951951921397,261.62959085289253,44.824692355630155,36.61137120693961,0.4221743959563602,0.036453881601018354,18.105224650401418,83.88814084828905,0.0,0.0,1.0942377954150588,24.624106950548985,17.23554956105175,57.04610569298422
Cambronne-Garibaldi,75015,14.96256519661967,324.22793437408654,42.697246127782755,40.47407507967438,0.48831491122350146,0.04333169860686361,16.297292765832733,77.49926454477348,0.0,0.0,1.3415318500539435,8.237140724219952,34.39131445742515,56.03001296830094
Citroën-Boucicaut,75015,14.551630664402827,418.7446592931091,33.59984261384801,36.156812944082276,0.40073863529516557,0.30052205052185094,29.543580216784868,75.12983347616137,0.76626330245828,0.0,13.987026029082774,22.58024625473067,24.36451090034844,38.30195351337985
Dupleix-Motte Picquet,75015,16.450534037539747,318.4845203594195,44.18386221329744,39.39569400545984,0.5106351650993562,0.04531233546956745,15.86430226972206,74.32512523255583,0.0,0.0,0.887664947161644,16.358681851612182,23.79783625862471,58.95581694260146
Emeriau-Zola,75015,18.983820204587403,647.5409607548909,49.68992309588255,34.76536557464037,0.3864568120816761,0.03423855281102484,15.123636642489659,81.03234127668732,0.0,0.9294741549676407,0.8193617238179163,4.547842032839037,29.18350238783079,64.5198197005446
Georges Brassens,75015,13.142642425928397,307.9020265824193,27.688501421405377,40.22076614109751,0.5443394746251066,0.04287357159884299,31.503514325534216,75.42895039464115,4.335047826219365,0.0,9.846824976197878,20.599972028249894,33.685206688415064,31.53294848091778
Pasteur Montparnasse,75015,17.19196199597362,425.1736411366851,44.15174388704165,40.76673018491897,0.47548763877352745,0.04219344234850414,14.564208805732106,83.31922845153423,0.0,0.4813121220311781,1.3614493162069556,7.375196639116992,17.36198884374198,73.4200530789029
Saint Lambert,75015,14.771787407531894,619.1542474547962,44.790627439052756,36.35444382041127,0.45637094864453315,0.036963924334103504,18.36031399026971,80.01943908024019,0.0,0.0,6.494269657097895,6.420109089868372,27.44488472151012,59.64073653152362
Seine et Berges,75015,3.270592833109835,43.57736526740584,1.642591337028081,28.702490672959073,0.8434928678057944,55.4866107065323,13.324919183590866,62.24433604605972,0.07575311992989384,0.0,58.07238522207102,0.11827117836596082,41.09593013777361,0.6376603418595457
Vaugirard-Parc des Expositions,75015,13.090719227625762,623.4321011163682,29.20801720215284,41.83435494361002,1.3149335531217052,0.06162301644070503,27.579503310903515,67.54696366188102,2.5773948100651163,0.0,12.996007403161968,14.000851795294947,48.336817946821114,22.088928044656846
Violet Commerce,75015,14.812835642586185,245.4687317540565,44.48913771542621,38.15993563039335,0.42008821085536285,0.037277452157813765,16.892307430341027,79.72288281329512,0.0,0.0,2.7254818293217253,15.67990108361119,15.804986716846765,65.78963037022032
