,mean,median,mode,std,mean_delta,median_delta,mode_delta,0.0_delta,0.1_delta,0.25_delta,0.5_delta,0.75_delta,0.9_delta,1.0_delta
OPERA - CHAUSSEE D'ANTIN,3.8802874774628027,5.0,5.0,1.8063873599091433,-1.119712522537197,0.0,0.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,0.0
OLYMPIADES - CHOISY,2.4520597083607076,3.0,1.0,1.5373988417044098,1.452059708360708,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0
SORBONNE,2.9753267096885176,3.0,5.0,1.9461665857975083,-2.0246732903114824,-2.0,0.0,-5.0,-4.0,-4.0,-2.0,0.0,0.0,0.0
LA CHAPELLE - MARX DORMOY,2.5575120614457356,1.0,1.0,2.0201855592250935,1.5575120614457352,0.0,0.0,-1.0,0.0,0.0,0.0,4.0,4.0,4.0
ELYSEES - MADELEINE,3.2628900770145663,5.0,5.0,2.0051453149630034,-1.737109922985434,0.0,0.0,-5.0,-5.0,-4.0,0.0,0.0,0.0,0.0
DANUBE,2.255781797453005,2.0,1.0,1.6739869266185008,1.2557817974530048,1.0,0.0,-1.0,-1.0,0.0,1.0,2.0,4.0,4.0
FLANDRE - AUBERVILLIERS,3.3437588966737737,3.0,5.0,1.5504202483068985,-1.6562411033262254,-2.0,0.0,-4.0,-4.0,-2.0,-2.0,0.0,0.0,0.0
SAINT - VICTOR,3.6545442267536616,5.0,5.0,1.9662680095353045,-1.3454557732463388,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
CROULEBARBE,3.2279031336869357,3.0,5.0,1.8572670327511733,-1.7720968663130645,-2.0,0.0,-5.0,-4.0,-4.0,-2.0,0.0,0.0,0.0
EPINETTES - BESSIERES,2.1515294795067605,3.0,3.0,1.6035475137223572,-0.84847052049324,0.0,0.0,-3.0,-3.0,-2.0,0.0,0.0,2.0,2.0
SAINT - PLACIDE,4.381054299874645,5.0,5.0,1.4525316325264872,-0.6189457001253549,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0
SAINT - THOMAS D'AQUIN,3.6357435279144794,5.0,5.0,2.048628697717453,-1.36425647208552,0.0,0.0,-5.0,-5.0,-4.0,0.0,0.0,0.0,0.0
GAMBETTA,2.8239678171501326,3.0,5.0,1.9475528087034508,-2.176032182849869,-2.0,0.0,-5.0,-4.0,-4.0,-2.0,0.0,0.0,0.0
SAINT - LAMBERT,3.4603549343687505,5.0,5.0,1.9681208671241042,-1.5396450656312495,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
BOIS DE BOULOGNE,0.13891903791766036,0.0,0.0,0.45609682327046075,0.13891903791766033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
NATION - PICPUS,3.5005934953309823,5.0,5.0,1.8820140631280582,-1.4994065046690186,0.0,0.0,-5.0,-4.0,-4.0,0.0,0.0,0.0,0.0
PLAINE LAGNY,2.595209584284817,3.0,1.0,1.9458473032165002,1.5952095842848166,2.0,0.0,-1.0,-1.0,0.0,2.0,4.0,4.0,4.0
DIDOT - PORTE DE VANVES,3.0057835009238905,3.0,5.0,1.665840717486115,-1.9942164990761087,-2.0,0.0,-5.0,-4.0,-4.0,-2.0,0.0,0.0,0.0
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,3.4219166321966386,3.0,5.0,1.6563819147633054,-1.5780833678033612,-2.0,0.0,-5.0,-4.0,-3.0,-2.0,0.0,0.0,0.0
CHAILLOT,3.2031810309744584,5.0,5.0,2.125108797455541,-1.7968189690255416,0.0,0.0,-5.0,-5.0,-4.0,0.0,0.0,0.0,0.0
