conseil_de_quartier,svf,aspecratio,hauteurmoy,perméable,voirie,bati,rugosite_t,admitance,albedo,fluchaleur,aleaj_note,alean_note,alea_j_cl,sensi_j_cl,incap_j_cl,alea_n_cl,sensi_n_cl,incap_n_cl,vulnj_note,vulnn_note,st_areasha,st_lengths
TRIANGLE D'OR,0.27343993616462464,1.0397484966684263,20.90161853215191,39.30913165093341,4.980231498684611,55.71063685038197,6.576807871383321,1556.7209328803128,0.1563711324291905,30.874485757185283,9.302575086619342,15.120068224919892,1.7459554239278827,2.1178297998003353,1.6454894346307907,2.581039762170387,1.6621289727037973,1.6454894346307907,5.509274658359009,5.888658169504976,19996.17468888203,651.5696200000633
MARTIN LUTHER KING,0.5799814068465627,0.3457979425243625,11.453569519577762,56.23168938402753,5.517021717406398,38.25128889856607,5.481853403706338,1528.4957511527787,0.18541227496897633,13.341314281005822,7.911396733510491,9.516475158337727,1.745568947023056,1.5044708324494747,1.3151600462009212,1.7928509642502288,1.4234064747888544,1.3151600462009212,4.565199825673452,4.531417485240004,31352.597211618366,985.5661784903036
BAS - BELLEVILLE,0.3795682318017155,0.8932675763750925,18.15884836102674,43.83345089513427,2.9572270295657264,53.209322075300015,6.136303688363867,1597.2088071621897,0.16308856265521604,16.659294779371162,9.54163761597671,15.099235557289337,2.0105764043638,2.210300281035557,1.2959404559734262,2.8140705538708524,2.210300281035557,1.9757176099388296,5.516817141372783,7.000088444845238,24430.426713997993,681.8983060628308
BLANCHE - TRINITE,0.2409977555329697,1.497835202121787,18.973124367428504,29.552333093826398,0.8505808449824417,69.59708606119116,6.508921370493502,1596.3295577909214,0.15069223145237198,22.449750719121454,10.369068267761474,19.016700131004367,2.0966968681383262,2.436489878826495,1.6222485810868388,2.9666649729711105,2.3608052559852495,1.8122409829967008,6.155435328051659,7.1397112119530615,17268.265395928625,548.4599380776044
RENNES,0.2676742391634287,1.301701808562663,20.40479130436058,34.53591153771602,1.6239450743533866e-06,65.4640868383389,6.5,1600.0,0.15,19.37891254863305,10.246122254548208,17.799174701559167,2.0317043272992006,2.924632876572279,1.889420867972821,3.0,2.771589783836583,1.889420867972821,6.845758071844301,7.661010651809403,16306.401583927516,500.5419168426511
MANIN - JAURES,0.5073429797827632,0.47977126567073136,12.467671015561866,52.5573666951923,6.699816213226239,40.74281709158148,5.789147100677752,1548.5092799211848,0.1772996946929015,13.912494139806878,7.350784370169036,10.789541289320589,1.5887531194504168,1.8347752091429939,1.3655204607599076,2.2409814242377246,1.8083074432189785,1.6484192244563922,4.789048789353318,5.697708091913095,27076.04956052292,867.1787136996861
DAUPHINE,0.4146843247226974,0.9363653003081088,17.328127417635365,46.120753238752705,3.827126685916318,50.052120075330954,6.181955110457625,1589.0577010762513,0.15998084277427205,12.224456773707116,8.805002867332657,14.16164778128074,1.8048508424104468,2.349290009759178,1.7695168130977448,2.4495395072045016,2.260705750759167,1.8318817211854643,5.923657665267369,6.542126979149133,19737.598274060118,651.4330698911152
SECRETAN,0.41734478160687094,0.8328873919750688,16.223832496943665,48.37820117595772,2.9291518305906545,48.69264699345162,6.16133047763738,1585.4086827139613,0.16238526104024903,21.19981943784671,8.141709546940067,13.661321966419283,1.7866858362869409,2.4061135844012522,1.3467361689945754,2.6776170420378533,2.4061135844012522,1.9381427829938689,5.539535589682769,7.021873409432974,29075.346807101338,990.009944234835
JARDIN DES PLANTES,0.5256838020136843,0.646787086769804,12.375878125125372,57.93316145921291,2.0133148756413606,40.05352366514572,5.998373361552243,1532.4019033831191,0.17484754414590942,14.481041297925799,7.069049340137695,10.638735300750566,1.7292216759356434,2.161141951610637,1.5701548592265675,2.2098614214939656,2.144108871292691,1.5701548592265675,5.460518486772848,5.924125152013224,73148.02957752903,1255.596128893946
CROULEBARBE,0.44147599788962566,0.7692291395365922,16.61253788036435,54.11861138939402,2.5184331088153757,43.362955501790616,6.033541747282868,1559.1610792640863,0.1690246332764947,12.086079303821114,7.740850789032695,12.599519423423144,1.57718694743214,2.501022461744169,1.1746549158599207,2.5121099325057603,2.4563238465877504,1.4946219198806816,5.25286432503623,6.463055698974191,25166.140284873676,963.5123812842157
