rooms,epoque,furnished,housingType,ref,refmaj,refmin
1,inf1946,meuble,appartement,38.05517233791466,45.697057535608586,26.680850384657884
1,inf1946,meuble,appartement,37.74599303842649,45.3028192533695,26.470288225084115
1,inf1946,meuble,appartement,37.49781555101585,44.99736601811039,26.298439426594054
1,inf1946,meuble,appartement,38.45514103762239,46.17556282637057,26.961247323986797
1,inf1946,meuble,appartement,36.529001154918355,43.841116088352024,25.6108685163441
1,inf1946,meuble,appartement,38.515352707193735,46.23438643317467,26.99674443242446
1,inf1946,meuble,appartement,38.094442698711205,45.693362121506475,26.696064017467066
1,inf1946,meuble,appartement,37.213206105427844,44.67752284597931,26.070950822649394
1,inf1946,meuble,appartement,36.32170687829637,43.59602958423692,25.472654388592765
1,inf1946,meuble,appartement,34.570980740789366,41.46456171278549,24.229070954769675
1,inf1946,meuble,appartement,34.037920885201935,40.83445588951764,23.8413673163852
1,inf1946,meuble,appartement,30.830808171535377,37.01242714835664,21.578734456122046
1,inf1946,meuble,appartement,33.38187416481555,40.065496520273875,23.385125859240485
1,inf1946,meuble,appartement,34.734385688990024,41.68915390616475,24.328102851381384
1,inf1946,meuble,appartement,33.2695819256553,39.94054311969144,23.313120365673228
1,inf1946,meuble,appartement,33.56195348672617,40.26216073903868,23.50070910451755
1,inf1946,meuble,appartement,34.22910875634678,41.08032964825299,23.977923729814464
1,inf1946,meuble,appartement,32.047430386804734,38.45701593646184,22.42397616658188
1,inf1946,meuble,appartement,30.777359599216208,36.920448148417535,21.572232308734993
1,inf1946,meuble,appartement,31.00275931993565,37.19131185909669,21.726534752720553
1,inf1946,meuble,appartement,33.56195348672617,40.26216073903868,23.50070910451755
1,inf1946,meuble,appartement,33.5,40.2,23.5
1,inf1946,meuble,appartement,33.68495952799024,40.40195427715335,23.5914980716947
1,inf1946,meuble,appartement,34.144971185104104,40.97204091950796,23.917787893354948
1,inf1946,meuble,appartement,33.04251886541423,39.66627200964994,23.156889149060675
1,inf1946,meuble,appartement,33.539931814083275,40.23993181408328,23.5
1,inf1946,meuble,appartement,32.3,38.8,22.6
1,inf1946,meuble,appartement,34.28753317226749,41.15941646533436,24.01564987920062
1,inf1946,meuble,appartement,33.5,40.2,23.5
1,inf1946,meuble,appartement,21.4,25.7,15.0
1,inf1946,meuble,appartement,35.3,42.4,24.7
1,inf1946,meuble,appartement,34.4,41.3,24.1
1,inf1946,meuble,appartement,21.4,25.7,15.0
1,inf1946,meuble,appartement,23.99505499993384,28.814065999920608,16.779466285668917
1,inf1946,meuble,appartement,33.6,40.3,23.5
1,inf1946,meuble,appartement,21.69999979914295,25.999999758977882,15.199999839266574
1,inf1946,meuble,appartement,26.8321919377256,32.21051753803131,18.7944222387555
1,inf1946,meuble,appartement,22.205518511786053,26.6838986495598,15.581139393666778
1,inf1946,meuble,appartement,21.20000520977089,25.400006964346534,14.800004359461091
1,inf1946,meuble,appartement,22.79999999771254,27.399999997184835,15.999999998359696
1,inf1946,meuble,appartement,19.800000000629762,23.80000000074593,13.900000000437164
1,inf1946,meuble,appartement,19.8,23.8,13.9
1,inf1946,meuble,appartement,27.40167826441063,32.90199577383225,19.201179320918765
1,inf1946,meuble,appartement,22.414939512650676,26.932417811870366,15.724950060316802
1,inf1946,meuble,appartement,22.414939512650676,26.932417811870366,15.724950060316802
1,inf1946,meuble,appartement,20.600000005595177,24.70000000677174,14.40000000399667
1,inf1946,meuble,appartement,19.80000271613246,23.800002865668436,13.900001507602205
1,inf1946,meuble,appartement,19.8,23.8,13.9
1,inf1946,meuble,appartement,26.002900330473523,31.203469022718224,18.2020472921252
1,inf1946,meuble,appartement,21.40595319478669,25.70711911059648,15.004173174612392
1,inf1946,meuble,appartement,27.404922376207136,32.905853636565816,19.203458967062243
1,inf1946,meuble,appartement,19.8,23.8,13.9
1,inf1946,meuble,appartement,21.2,25.4,14.8
1,inf1946,meuble,appartement,19.000034363931164,22.800041503131773,13.300024321166193
1,inf1946,meuble,appartement,24.902315880076003,29.90276862566037,17.401628777991686
1,inf1946,meuble,appartement,21.199984546778143,25.399981843261408,14.799989790511205
1,inf1946,meuble,appartement,20.82458535127879,24.970954687175762,14.558662011536368
1,inf1946,meuble,appartement,21.40012865247421,25.700135653801667,15.000086725738571
1,inf1946,meuble,appartement,27.40320414494618,32.903802243544426,19.202252022323428
1,inf1946,meuble,appartement,19.8,23.8,13.9
1,inf1946,meuble,appartement,21.199987409489044,25.399985667699593,14.79999206245127
1,inf1946,meuble,appartement,21.699995731379776,25.999995596480463,15.19999700579111
1,inf1946,meuble,appartement,27.19790653592844,32.65460079362739,19.05564752566317
1,inf1946,meuble,appartement,31.9,38.3,22.3
1,inf1946,meuble,appartement,29.593415629960006,35.527547796571625,20.73652867997177
1,inf1946,meuble,appartement,31.927497408881287,38.30481828221299,22.371367258513267
1,inf1946,meuble,appartement,29.492200054081323,35.40934324946693,20.664122533749026
1,inf1946,meuble,appartement,35.278101286524894,42.37262660815612,24.684944634485863
1,inf1946,meuble,appartement,35.3,42.4,24.7
1,inf1946,meuble,appartement,29.399825995779928,35.29979017138168,20.599877173491716
1,inf1946,meuble,appartement,31.9,38.3,22.3
1,inf1946,meuble,appartement,31.9,38.3,22.3
1,inf1946,meuble,appartement,21.7,26.0,15.2
1,inf1946,meuble,appartement,19.8,23.8,13.9
1,inf1946,meuble,appartement,21.7,26.0,15.2
1,inf1946,meuble,appartement,19.256461175431014,23.12057646928877,13.49234588157326
1,inf1946,meuble,appartement,21.7,26.0,15.2
1,inf1946,meuble,appartement,20.51896574567948,24.59761477076475,14.351735790214537
1,inf1946,meuble,appartement,21.7,26.0,15.2
1,inf1946,meuble,maison,38.05517233791466,45.697057535608586,26.680850384657884
1,inf1946,meuble,maison,37.74599303842649,45.3028192533695,26.470288225084115
1,inf1946,meuble,maison,37.49781555101585,44.99736601811039,26.298439426594054
1,inf1946,meuble,maison,38.45514103762239,46.17556282637057,26.961247323986797
1,inf1946,meuble,maison,36.529001154918355,43.841116088352024,25.6108685163441
1,inf1946,meuble,maison,38.515352707193735,46.23438643317467,26.99674443242446
1,inf1946,meuble,maison,38.094442698711205,45.693362121506475,26.696064017467066
1,inf1946,meuble,maison,37.213206105427844,44.67752284597931,26.070950822649394
1,inf1946,meuble,maison,36.32170687829637,43.59602958423692,25.472654388592765
1,inf1946,meuble,maison,34.570980740789366,41.46456171278549,24.229070954769675
1,inf1946,meuble,maison,34.037920885201935,40.83445588951764,23.8413673163852
1,inf1946,meuble,maison,30.830808171535377,37.01242714835664,21.578734456122046
1,inf1946,meuble,maison,33.38187416481555,40.065496520273875,23.385125859240485
1,inf1946,meuble,maison,34.734385688990024,41.68915390616475,24.328102851381384
1,inf1946,meuble,maison,33.2695819256553,39.94054311969144,23.313120365673228
1,inf1946,meuble,maison,33.56195348672617,40.26216073903868,23.50070910451755
1,inf1946,meuble,maison,34.22910875634678,41.08032964825299,23.977923729814464
1,inf1946,meuble,maison,32.04743782139981,38.457024664764134,22.423981272503983
1,inf1946,meuble,maison,30.777366080301956,36.92045578684002,21.572236706614607
1,inf1946,meuble,maison,31.00275931993565,37.19131185909669,21.726534752720553
1,inf1946,meuble,maison,33.56195348672617,40.26216073903868,23.50070910451755
1,inf1946,meuble,maison,33.5,40.2,23.5
1,inf1946,meuble,maison,33.68495952799024,40.40195427715335,23.5914980716947
