conseil_de_quartier,rooms,epoque,furnished,housingType,ref,refmaj,refmin
OPERA - CHAUSSEE D'ANTIN,1,inf1946,meuble,appartement,38.72197145768431,46.50541964873781,27.145616545499863
OLYMPIADES - CHOISY,1,inf1946,meuble,appartement,31.4705960850903,37.75000953189536,22.05588777303854
SORBONNE,1,inf1946,meuble,appartement,37.500003373892255,45.00000415616347,26.300002334053907
LA CHAPELLE - MARX DORMOY,1,inf1946,meuble,appartement,31.59264420402862,37.88738397878792,22.14106187677362
ELYSEES - MADELEINE,1,inf1946,meuble,appartement,38.538572224272706,46.28327019479194,27.01398408265558
DANUBE,1,inf1946,meuble,appartement,31.097940540235907,37.297550912712964,21.798552812057665
FLANDRE - AUBERVILLIERS,1,inf1946,meuble,appartement,31.100027016068935,37.300032541192884,21.800019033158424
SAINT - VICTOR,1,inf1946,meuble,appartement,37.488666451735014,44.98647351803428,26.291956530448353
CROULEBARBE,1,inf1946,meuble,appartement,35.499912929068316,42.59989819509554,24.899935030027464
EPINETTES - BESSIERES,1,inf1946,meuble,appartement,33.69147322552126,40.38983128668502,23.593992835922702
SAINT - PLACIDE,1,inf1946,meuble,appartement,38.09998704853472,45.69998459825751,26.69999089897035
SAINT - THOMAS D'AQUIN,1,inf1946,meuble,appartement,38.10003964539539,45.700050972651226,26.700028318139566
GAMBETTA,1,inf1946,meuble,appartement,30.415385461776832,36.494537926723766,21.31675096162164
SAINT - LAMBERT,1,inf1946,meuble,appartement,32.48831842622104,39.02418843141054,22.734513418436798
BOIS DE BOULOGNE,1,inf1946,meuble,appartement,33.56015808046213,40.26015808321658,23.50000000826337
NATION - PICPUS,1,inf1946,meuble,appartement,31.899973355906273,38.299968027080524,22.299982424455823
PLAINE LAGNY,1,inf1946,meuble,appartement,31.099770366804528,37.2997265316896,21.799837583075224
DIDOT - PORTE DE VANVES,1,inf1946,meuble,appartement,35.29997812979199,42.399973478571944,24.699985106622062
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,1,inf1946,meuble,appartement,35.299975421767314,42.399968116876884,24.699984552880345
CHAILLOT,1,inf1946,meuble,appartement,33.60011449939364,40.300138576072726,23.50008166564456
MARAIS - ARCHIVES,1,inf1946,meuble,appartement,37.82520542009324,45.400252824730146,26.525142213910705
AMIRAUX - SIMPLON - POISSONNIERS,1,inf1946,meuble,appartement,32.857760929284446,39.41734577819045,22.991756383541833
PIGALLE - MARTYRS,1,inf1946,meuble,appartement,35.69954004167349,42.84186687303172,25.039073139733148
CITROEN - BOUCICAUT,1,inf1946,meuble,appartement,33.5,40.2,23.5
SAINT - GERMAIN DES PRES,1,inf1946,meuble,appartement,38.79988174564761,46.59984795868979,27.19991553260544
BEL - AIR NORD,1,inf1946,meuble,appartement,29.400087326474225,35.300104033548465,20.600060216077914
AUTEUIL SUD,1,inf1946,meuble,appartement,33.5,40.2,23.5
PONT DE FLANDRE,1,inf1946,meuble,appartement,31.098495032426317,37.298210308831294,21.798942455218494
SAINT - PHILIPPE DU ROULE,1,inf1946,meuble,appartement,38.0775180282576,45.72468530346593,26.685926289337132
TERNES - MAILLOT,1,inf1946,meuble,appartement,34.399987902923684,41.29998476365955,24.099990812197714
TRIANGLE D'OR,1,inf1946,meuble,appartement,38.799941546217234,46.59992737442054,27.1999583409766
MARTIN LUTHER KING,1,inf1946,meuble,appartement,34.274121515692734,41.13815623446208,24.01008679692338
BAS - BELLEVILLE,1,inf1946,meuble,appartement,29.40030192150721,35.30035809295041,20.600210642912014
BLANCHE - TRINITE,1,inf1946,meuble,appartement,35.603879236448535,42.725915299227765,24.972397374246015
RENNES,1,inf1946,meuble,appartement,38.22170706391966,45.856480510753855,26.78693361708547
MANIN - JAURES,1,inf1946,meuble,appartement,30.955588836583253,37.129948780666965,21.698101641416518
FAUBOURG MONTMARTRE,1,inf1946,meuble,appartement,36.092718180545575,43.318446204996214,25.31310662929652
CLIGNANCOURT - JULES JOFFRIN,1,inf1946,meuble,appartement,31.9,38.3,22.3
GOUTTE D'OR - CHATEAU ROUGE,1,inf1946,meuble,appartement,33.08137445231341,39.67827125728933,23.153214882226358
LEGENDRE - LEVIS,1,inf1946,meuble,appartement,34.39995615071408,41.2999451883926,24.099967113035564
CHAMPERRET - BERTHIER,1,inf1946,meuble,appartement,34.4,41.29999999999999,24.1
HOCHE - FRIEDLAND,1,inf1946,meuble,appartement,38.79967211397971,46.599604080848835,27.199768023858976
DAUPHINE,1,inf1946,meuble,appartement,33.6,40.3,23.5
SECRETAN,1,inf1946,meuble,appartement,29.8782924075135,35.8626973273236,20.93761784660291
JARDIN DES PLANTES,1,inf1946,meuble,appartement,34.40109789256337,41.30131052155101,24.100779028343645
LA FOURCHE - GUY MOQUET,1,inf1946,meuble,appartement,33.69997525769717,40.39997331947392,23.599981984859472
CHARLES HERMITE - EVANGILE,1,inf1946,meuble,appartement,31.746872148303442,38.07126295678705,22.247795778067747
JEAN MOULIN - PORTE D'ORLEANS,1,inf1946,meuble,appartement,34.40011870664374,41.30012767699674,24.100066081086617
INVALIDES,1,inf1946,meuble,appartement,38.100008371055765,45.700010762785986,26.700005979325542
LOUIS BLANC - AQUEDUC,1,inf1946,meuble,appartement,35.161906488171844,42.18677633562155,24.655823091535627
NOTRE - DAME DES CHAMPS,1,inf1946,meuble,appartement,38.29316355172371,45.94836459064675,26.837976717580908
ITALIE - PEUPLIERS - RUNGIS,1,inf1946,meuble,appartement,35.2997947300518,42.399750467120406,24.699858289030974
JARDIN DE REUILLY,1,inf1946,meuble,appartement,30.917333587170084,37.120799989783805,21.631787238048034
SAINT - VINCENT DE PAUL - LARIBOISIERE,1,inf1946,meuble,appartement,35.499976292248434,42.599971024100945,24.899982877734974
PLATEAU,1,inf1946,meuble,appartement,29.644537097490883,35.58769100214199,20.77261416529124
MONTPARNASSE - RASPAIL,1,inf1946,meuble,appartement,35.48349076359818,42.58349444189983,24.883484602592922
MUETTE SUD,1,inf1946,meuble,appartement,33.5999810490846,40.2999810490846,23.5
PASTEUR - MONTPARNASSE,1,inf1946,meuble,appartement,34.40006136734465,41.30007366207752,24.100042395180754
GRANGE AUX BELLES - TERRAGE,1,inf1946,meuble,appartement,33.70008316046358,40.400102511917176,23.600060931250916
BIBLIOTHEQUE - SEINE,1,inf1946,meuble,appartement,31.1002039542521,37.30024751788127,21.80014207478178
SENTIER - ARTS ET METIERS,1,inf1946,meuble,appartement,37.49992158777355,44.99990544273124,26.299944648844463
CHATEAU D'EAU - LANCRY,1,inf1946,meuble,appartement,33.700418236490385,40.40051049274604,23.600301374500845
SALPETRIERE - AUSTERLITZ,1,inf1946,meuble,appartement,34.032597378595895,40.85466799745576,23.843918542133935
