code_postal,rooms,epoque,furnished,ref,refmaj,refmin
75001,1,inf1946,meuble,38.05517233791466,45.697057535608586,26.680850384657887
75002,1,inf1946,meuble,37.74599303842649,45.3028192533695,26.47028822508411
75003,1,inf1946,meuble,37.49781555101585,44.99736601811039,26.298439426594054
75004,1,inf1946,meuble,38.45514103762239,46.175562826370566,26.961247323986793
75005,1,inf1946,meuble,36.529001154918355,43.84111608835201,25.610868516344098
75006,1,inf1946,meuble,38.51535270719374,46.23438643317468,26.99674443242446
75007,1,inf1946,meuble,38.094442698711205,45.693362121506475,26.696064017467066
75008,1,inf1946,meuble,37.213206105427844,44.67752284597931,26.070950822649394
75009,1,inf1946,meuble,36.32170687829637,43.596029584236916,25.472654388592762
75010,1,inf1946,meuble,34.570980740789366,41.464561712785496,24.229070954769675
75011,1,inf1946,meuble,34.037920885201935,40.83445588951764,23.841367316385202
75012,1,inf1946,meuble,30.830808171535377,37.012427148356636,21.578734456122046
75013,1,inf1946,meuble,33.381874164815564,40.065496520273875,23.38512585924049
75014,1,inf1946,meuble,34.734385688990024,41.68915390616474,24.32810285138138
75015,1,inf1946,meuble,33.26958192565531,39.94054311969144,23.313120365673228
75016,1,inf1946,meuble,33.561953486726175,40.26216073903868,23.500709104517554
75017,1,inf1946,meuble,34.22911824242864,41.080341016704686,23.977930418419408
75018,1,inf1946,meuble,32.04747125118531,38.4570648397878,22.424004704489782
75019,1,inf1946,meuble,30.77738130597821,36.920474121563466,21.572247522175203
75020,1,inf1946,meuble,31.002759320404984,37.191311859657944,21.726534753050927
75116,1,inf1946,meuble,33.561953486726175,40.26216073903868,23.500709104517554
75001,1,inf1946,non-meuble,33.345493618365076,40.010136852072264,23.34864390651355
75002,1,inf1946,non-meuble,33.10804542188284,39.74580261868157,23.151409626684753
75003,1,inf1946,non-meuble,32.89809244337831,39.4976753693093,22.998682157990302
75004,1,inf1946,non-meuble,33.708191173761634,40.455129009450566,23.587781413185283
75005,1,inf1946,non-meuble,32.05422257086301,38.46621007029056,22.40489872205714
75006,1,inf1946,non-meuble,33.755967113393844,40.515129669715655,23.637156424890993
75007,1,inf1946,non-meuble,33.3951797466686,40.09418035290451,23.39664223952265
75008,1,inf1946,non-meuble,32.626818400976546,39.15217347186898,22.853998058122187
75009,1,inf1946,non-meuble,31.82215779604398,38.17160107863602,22.298001014622937
75010,1,inf1946,non-meuble,30.32578404126073,36.37098580663324,21.232253461864666
75011,1,inf1946,non-meuble,29.889644246177514,35.83793450631229,20.89310804436369
75012,1,inf1946,non-meuble,27.06031247562982,32.49016855172091,18.959996808046128
75013,1,inf1946,non-meuble,29.301657119322485,35.170415886758605,20.503191717264034
75014,1,inf1946,non-meuble,30.486958993163302,36.56599688490111,21.332468608523865
75015,1,inf1946,non-meuble,29.184068749090525,35.03637643222313,20.42770120972998
75016,1,inf1946,non-meuble,29.46181974953263,35.361993634775885,20.661552004645422
75017,1,inf1946,non-meuble,30.05351483694558,36.029100462333325,21.002357880909234
75018,1,inf1946,non-meuble,28.133572549840963,33.765650004148874,19.687621455311355
75019,1,inf1946,non-meuble,27.01533984836941,32.45837091621952,18.910267812301544
75020,1,inf1946,non-meuble,27.214986775415017,32.68975187113195,19.052449134708105
75116,1,inf1946,non-meuble,29.46181974953263,35.361993634775885,20.661552004645422
75001,1,1946-1970,meuble,36.072590431705194,43.29359987542822,25.218683677582263
75002,1,1946-1970,meuble,36.81564146273575,44.21487978375608,25.79752454331606
75003,1,1946-1970,meuble,36.79471923781729,44.19360118842456,25.79622360457239
75004,1,1946-1970,meuble,36.87303289661604,44.272936671241496,25.799675239360898
75005,1,1946-1970,meuble,34.60359349382206,41.56422613445659,24.26234829593005
75006,1,1946-1970,meuble,37.89502557049986,45.49400600221434,26.516557632134855
75007,1,1946-1970,meuble,39.39115423628624,47.28938829353103,27.593740222234484
75008,1,1946-1970,meuble,35.984966314767405,43.201959158287686,25.159531401936228
75009,1,1946-1970,meuble,34.12266690968382,40.922232440985475,23.848399149610152
75010,1,1946-1970,meuble,31.138390985189957,37.32610478314333,21.7569362974553
75011,1,1946-1970,meuble,29.49049157911021,35.387191038140244,20.641937018448804
75012,1,1946-1970,meuble,29.493773978812317,35.42646421423702,20.65750538449615
75013,1,1946-1970,meuble,29.364535936182907,35.24413795546219,20.56755305093952
75014,1,1946-1970,meuble,29.861603362108575,35.838550517726574,20.891804322449104
75015,1,1946-1970,meuble,30.79892873195379,36.98833220778249,21.57219724870527
75016,1,1946-1970,meuble,32.69043629795561,39.2563321907874,22.88063928590161
75017,1,1946-1970,meuble,30.960680716291225,37.16331793027364,21.682953254586973
75018,1,1946-1970,meuble,29.83057409188077,35.80864820655175,20.87494761548855
75019,1,1946-1970,meuble,29.042855612465488,34.84285757002965,20.361863065877937
75020,1,1946-1970,meuble,29.034206900219868,34.83440793399761,20.34711383260402
75116,1,1946-1970,meuble,32.69043629795561,39.2563321907874,22.88063928590161
75001,1,1946-1970,non-meuble,31.661970571134415,38.00526748036012,22.185536058416734
75002,1,1946-1970,non-meuble,32.31602230222558,38.815355833118375,22.616974400950184
75003,1,1946-1970,non-meuble,32.295348353366926,38.79436878355094,22.59674846830253
75004,1,1946-1970,non-meuble,32.373087023389225,38.87300282618649,22.67320730510741
75005,1,1946-1970,non-meuble,30.354637147781794,36.44668691832637,21.2508341845668
75006,1,1946-1970,non-meuble,33.27557214633897,39.93467755553761,23.296901794240387
75007,1,1946-1970,non-meuble,34.59214383878459,41.490575108333154,24.194554948893305
75008,1,1946-1970,non-meuble,31.57646980537793,37.89345695211611,22.120460501602697
75009,1,1946-1970,non-meuble,29.92294990392065,35.897530130155864,20.973534012204432
75010,1,1946-1970,non-meuble,27.29610083931214,32.735350379441805,19.111513367694776
75011,1,1946-1970,non-meuble,25.842134885049433,30.990568806547774,18.093611021733395
75012,1,1946-1970,non-meuble,25.89773316514732,31.086231820478,18.113265665184862
75013,1,1946-1970,non-meuble,25.730645995210566,30.88397222387038,18.05300724673524
75014,1,1946-1970,non-meuble,26.168942396507543,31.401768455212412,18.33926775255384
75015,1,1946-1970,non-meuble,26.994911281957844,32.38430408145889,18.886852895019462
75016,1,1946-1970,non-meuble,28.646528127252807,34.35146040530745,20.058664586316894
75017,1,1946-1970,non-meuble,27.134240872274095,32.56116383505023,19.00677545553022
75018,1,1946-1970,non-meuble,26.171186588304472,31.389923321644446,18.315585173034904
75019,1,1946-1970,non-meuble,25.461926281786198,30.561927994654837,17.861862331791375
75020,1,1946-1970,non-meuble,25.460800759251164,30.560901276140036,17.84701331571515
75116,1,1946-1970,non-meuble,28.646528127252807,34.35146040530745,20.058664586316894
75001,1,1971-1990,meuble,34.07719249407967,40.86623575275044,23.855001616243374
75002,1,1971-1990,meuble,35.424856071420464,42.48605156602469,24.783110434450368
75003,1,1971-1990,meuble,35.59632588709801,42.695624911774296,24.897479933168807
75004,1,1971-1990,meuble,34.938301619570005,41.89126755850653,24.458861732294096
75005,1,1971-1990,meuble,34.342843505323245,41.19141484649139,24.020059691834007
75006,1,1971-1990,meuble,36.0186342585624,43.19840474223062,25.219027563057022
75007,1,1971-1990,meuble,37.99377846716399,45.59252290539895,26.59571042650075
75008,1,1971-1990,meuble,34.640756433841105,41.54112856030005,24.270712743889067
75009,1,1971-1990,meuble,32.598286821936085,39.122965411642,22.798814489740593
75010,1,1971-1990,meuble,31.33056963017906,37.62694086331821,21.937481241294936
75011,1,1971-1990,meuble,31.186092655164693,37.43436334643834,21.84131949915796
75012,1,1971-1990,meuble,28.002252321498332,33.595244897274064,19.594140259786933
75013,1,1971-1990,meuble,28.788289239208666,34.533809694403494,20.140500585311003
75014,1,1971-1990,meuble,31.560251285480817,37.887496388441676,22.081564325629138
75015,1,1971-1990,meuble,31.516256433165047,37.82835869943784,22.096154463338088
75016,1,1971-1990,meuble,33.44610898242012,40.150942782267734,23.458363182215724
75017,1,1971-1990,meuble,33.16276445790155,39.789920122429905,23.233652872049053
75018,1,1971-1990,meuble,28.004041463699405,33.614984344605304,19.62420588667264
75019,1,1971-1990,meuble,25.18055169702533,30.17671118992299,17.6268685211436
75020,1,1971-1990,meuble,26.203066058590938,31.41456850149352,18.342844820914394
75116,1,1971-1990,meuble,33.44610898242012,40.150942782267734,23.458363182215724
75001,1,1971-1990,non-meuble,29.866332340416818,35.85513530599552,20.921853997077847
75002,1,1971-1990,non-meuble,31.044401138927046,37.22476086154801,21.70256029208449
75003,1,1971-1990,non-meuble,31.196780659974884,37.396185705391474,21.79779622646893
75004,1,1971-1990,non-meuble,30.61182767123061,36.73828959139819,21.432375755782882
75005,1,1971-1990,non-meuble,30.09997866446241,36.08010773117545,21.04577772106312
75006,1,1971-1990,non-meuble,31.558862899561845,37.898616071628226,22.099191351219872
75007,1,1971-1990,non-meuble,33.29462442404102,39.993538421581285,23.296251204292137
75008,1,1971-1990,non-meuble,30.371039761137588,36.47135363817325,21.270577416257765
75009,1,1971-1990,non-meuble,28.598507774380074,34.32320073208638,20.023916782466756
75010,1,1971-1990,non-meuble,27.482420416356728,32.97887091253706,19.237687376571756
75011,1,1971-1990,non-meuble,27.337830607184195,32.78610566031272,19.14129814148468
75012,1,1971-1990,non-meuble,24.576098411385026,29.50978568830361,17.17555558109918
75013,1,1971-1990,non-meuble,25.27101423348895,30.301599491164236,17.695602841832965
75014,1,1971-1990,non-meuble,27.68463895785125,33.21202297707974,19.38172252793678
75015,1,1971-1990,non-meuble,27.64156728703476,33.18693843858449,19.358761295644715
75016,1,1971-1990,non-meuble,29.363189930582756,35.268016678949785,20.536428360180604
75017,1,1971-1990,non-meuble,29.08626255960869,34.91343719810784,20.38299911879964
75018,1,1971-1990,non-meuble,24.561977384095755,29.477238590433487,17.177836694327123
75019,1,1971-1990,non-meuble,22.122843749617914,26.518880236436335,15.488355717309254
75020,1,1971-1990,non-meuble,23.01338700076441,27.597515590372705,16.107334509191194
75116,1,1971-1990,non-meuble,29.363189930582756,35.268016678949785,20.536428360180604
75001,1,sup1990,meuble,34.51760526483313,41.4300372977314,24.17135481186088
75002,1,sup1990,meuble,33.94704034702354,40.70415219158393,23.77104990406379
75003,1,sup1990,meuble,33.69683567766811,40.396259580094465,23.597787879825365
