code_postal,zn,frac_in_zn
75014,12,0.3174263368359994
75013,13,0.4247721920661441
75012,14,0.47989626409737207
75015,7,0.48034939262540083
75017,6,0.5019391680444458
75010,11,0.5151126819129076
75011,11,0.51747176848439
75018,9,0.5932280117513714
75020,13,0.5956029601450351
75006,2,0.598711696591163
75116,3,0.6080523003892316
75016,3,0.6080523003892316
75005,4,0.6842911282635781
75008,2,0.6942543379727023
75004,2,0.7348996714515158
75009,5,0.7497085500845323
75001,2,0.7724196398672885
75002,4,0.8083577198325907
75019,13,0.8085249536409621
75007,1,0.9983044069468168
75003,4,0.9989397925968773
