cq,rooms,epoque,furnished,ref,refmaj,refmin
FAUBOURG MONTMARTRE,1,inf1946,meuble,36.09271818054573,43.318446204996405,25.313106629296634
CLIGNANCOURT - JULES JOFFRIN,1,inf1946,meuble,31.9,38.3,22.3
GOUTTE D'OR - CHATEAU ROUGE,1,inf1946,meuble,33.08137445231341,39.678271257289325,23.15321488222635
LEGENDRE - LEVIS,1,inf1946,meuble,34.39995615071403,41.29994518839254,24.099967113035525
CHAMPERRET - BERTHIER,1,inf1946,meuble,34.4,41.3,24.099999999999998
HOCHE - FRIEDLAND,1,inf1946,meuble,38.79967211397967,46.59960408084879,27.199768023858947
MUETTE SUD,1,inf1946,meuble,33.599981049084604,40.2999810490846,23.5
PASTEUR - MONTPARNASSE,1,inf1946,meuble,34.400061367344634,41.30007366207752,24.100042395180754
GRANGE AUX BELLES - TERRAGE,1,inf1946,meuble,33.700083160463585,40.40010251191717,23.60006093125092
BIBLIOTHEQUE - SEINE,1,inf1946,meuble,31.1002039542521,37.300247517881274,21.800142074781782
SENTIER - ARTS ET METIERS,1,inf1946,meuble,37.49992158777375,44.99990544273147,26.299944648844594
CHATEAU D'EAU - LANCRY,1,inf1946,meuble,33.700418236490414,40.40051049274607,23.600301374500866
CROULEBARBE,1,inf1946,meuble,35.49991292906832,42.59989819509556,24.89993503002747
EPINETTES - BESSIERES,1,inf1946,meuble,33.70004329129066,40.40005693848771,23.60003083713335
SAINT - PLACIDE,1,inf1946,meuble,38.099987048534736,45.69998459825752,26.699990898970352
SAINT - THOMAS D'AQUIN,1,inf1946,meuble,38.10003964539541,45.700050972651255,26.70002831813958
GAMBETTA,1,inf1946,meuble,30.41751314967916,36.497074293740184,21.318244576244112
SAINT - LAMBERT,1,inf1946,meuble,32.48831842622102,39.024188431410515,22.734513418436787
BOIS DE BOULOGNE,1,inf1946,meuble,33.56015808046213,40.26015808321658,23.500000008263374
NATION - PICPUS,1,inf1946,meuble,31.899973355906244,38.29996802708049,22.2999824244558
PLAINE LAGNY,1,inf1946,meuble,31.100005131648167,37.30000732891036,21.800003299420577
DIDOT - PORTE DE VANVES,1,inf1946,meuble,35.29997812979199,42.399973478571944,24.699985106622066
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,1,inf1946,meuble,35.29997542176729,42.39996811687687,24.699984552880338
CHAILLOT,1,inf1946,meuble,33.60011449939364,40.30013857607273,23.50008166564457
MARAIS - ARCHIVES,1,inf1946,meuble,37.82520542009325,45.40025282473015,26.52514221391071
OPERA - CHAUSSEE D'ANTIN,1,inf1946,meuble,38.721971457684326,46.50541964873782,27.14561654549987
OLYMPIADES - CHOISY,1,inf1946,meuble,31.470596085090115,37.75000953189514,22.055887773038414
SORBONNE,1,inf1946,meuble,37.50000337389226,45.00000415616347,26.30000233405391
LA CHAPELLE - MARX DORMOY,1,inf1946,meuble,31.592644204028566,37.88738397878786,22.141061876773584
ELYSEES - MADELEINE,1,inf1946,meuble,38.538572224272706,46.28327019479194,27.013984082655583
DANUBE,1,inf1946,meuble,31.1,37.3,21.8
FLANDRE - AUBERVILLIERS,1,inf1946,meuble,31.100027016068935,37.30003254119289,21.80001903315842
SAINT - VICTOR,1,inf1946,meuble,37.48866645173496,44.98647351803422,26.291956530448314
ALIGRE - GARE DE LYON,1,inf1946,meuble,33.69993825061591,40.399928680029234,23.599956822175194
ALLERAY - PROCESSION,1,inf1946,meuble,32.763037487272854,39.35123536881181,22.93074066496443
AUTEUIL NORD,1,inf1946,meuble,33.50001425327603,40.200014253276024,23.5
VAUGIRARD - PARC DES EXPOSITIONS,1,inf1946,meuble,32.86496223347724,39.45912260572345,23.023721675107932
BEL - AIR SUD,1,inf1946,meuble,29.49367909233078,35.41241491079694,20.663701782784933
LOUVRE - OPERA,1,inf1946,meuble,38.410576111432505,46.12358628381478,26.929679455522788
VALLEE DE FECAMP,1,inf1946,meuble,31.875134304894228,38.27016116587307,22.283091327328076
SALPETRIERE - AUSTERLITZ,1,inf1946,meuble,34.03259737859588,40.85466799745575,23.84391854213393
NATIONALE - DEUX MOULINS,1,inf1946,meuble,32.705466366886284,39.249494839475915,22.90853640470786
NATION - ALEXANDRE DUMAS,1,inf1946,meuble,34.39977508919053,41.29971849593918,24.099839405592014
BELLEVILLE - SAINT-MAUR,1,inf1946,meuble,34.03725288866243,40.833612941273394,23.840895267876785
TEMPLE - ENFANTS ROUGES,1,inf1946,meuble,37.49995014500722,44.99993990886928,26.299964589698153
MARAIS - PLACE DES VOSGES,1,inf1946,meuble,37.77039378692247,45.3327953076969,26.487194101803592
AMIRAUX - SIMPLON - POISSONNIERS,1,inf1946,meuble,32.859250290076325,39.419125338422376,22.992791876166237
PIGALLE - MARTYRS,1,inf1946,meuble,35.6995400416735,42.841866873031734,25.03907313973315
CITROEN - BOUCICAUT,1,inf1946,meuble,33.5,40.2,23.5
VIOLET - COMMERCE,1,inf1946,meuble,33.49978104707431,40.19974690618071,23.49983225841471
PLACE DES FETES,1,inf1946,meuble,31.100049644027205,37.30005919095551,21.80003436894191
ODEON,1,inf1946,meuble,38.79994053483762,46.599926812107846,27.19995883181066
MASSENA - JEANNE D'ARC,1,inf1946,meuble,31.1,37.3,21.8
JARDIN DE REUILLY,1,inf1946,meuble,30.917333587170084,37.120799989783805,21.631787238048034
SAINT - VINCENT DE PAUL - LARIBOISIERE,1,inf1946,meuble,35.499976292248434,42.59997102410095,24.89998287773498
PLATEAU,1,inf1946,meuble,29.64453709749088,35.58769100214198,20.772614165291237
MONTPARNASSE - RASPAIL,1,inf1946,meuble,35.4834907635982,42.583494441899866,24.88348460259294
LA FOURCHE - GUY MOQUET,1,inf1946,meuble,33.69997525769719,40.39997331947395,23.599981984859486
CHARLES HERMITE - EVANGILE,1,inf1946,meuble,31.752682180127117,38.07819798399771,22.251856893934157
JEAN MOULIN - PORTE D'ORLEANS,1,inf1946,meuble,34.400118706643745,41.30012767699674,24.100066081086617
INVALIDES,1,inf1946,meuble,38.10000837105576,45.70001076278598,26.700005979325542
LOUIS BLANC - AQUEDUC,1,inf1946,meuble,35.161906488171844,42.18677633562155,24.65582309153563
NOTRE - DAME DES CHAMPS,1,inf1946,meuble,38.293163551723794,45.94836459064685,26.83797671758097
ITALIE - PEUPLIERS - RUNGIS,1,inf1946,meuble,35.299794730051886,42.39975046712051,24.699858289031035
TRIANGLE D'OR,1,inf1946,meuble,38.799941546217255,46.59992737442055,27.19995834097661
MARTIN LUTHER KING,1,inf1946,meuble,34.27412151569272,41.138156234462066,24.010086796923375
BAS - BELLEVILLE,1,inf1946,meuble,29.400301921507214,35.30035809295041,20.60021064291201
BLANCHE - TRINITE,1,inf1946,meuble,35.60387923644854,42.725915299227786,24.97239737424602
RENNES,1,inf1946,meuble,38.22170706391963,45.85648051075382,26.786933617085452
MANIN - JAURES,1,inf1946,meuble,30.96739450586308,37.1439935363095,21.7063961217857
MUETTE NORD,1,inf1946,meuble,33.60000996393506,40.30001195672207,23.50000708546493
PORTE DES LILAS,1,inf1946,meuble,31.1,37.3,21.8
EMERIAU - ZOLA,1,inf1946,meuble,33.5,40.2,23.5
PORTE SAINT-DENIS - PARADIS,1,inf1946,meuble,35.49992277212889,42.59990533534021,24.89994394927577
GEORGES BRASSENS,1,inf1946,meuble,32.30006131357788,38.80007357629346,22.600042919504517
MONTMARTRE,1,inf1946,meuble,31.900072284407383,38.30008633970883,22.300052205405336
TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,1,inf1946,meuble,30.937979879272266,37.109398978595564,21.68562352567054
SAINT - GERMAIN DES PRES,1,inf1946,meuble,38.79988174564763,46.59984795868982,27.199915532605456
BEL - AIR NORD,1,inf1946,meuble,29.40008732647423,35.30010403354848,20.600060216077917
AUTEUIL SUD,1,inf1946,meuble,33.5,40.2,23.5
PONT DE FLANDRE,1,inf1946,meuble,31.1,37.3,21.8
SAINT - PHILIPPE DU ROULE,1,inf1946,meuble,38.077518028257586,45.72468530346592,26.685926289337125
TERNES - MAILLOT,1,inf1946,meuble,34.39998790292368,41.299984763659545,24.099990812197706
MONTSOURIS - DAREAU,1,inf1946,meuble,33.727615082367926,40.43550285825959,23.619724351716826
DUPLEIX - LA MOTTE PICQUET,1,inf1946,meuble,33.50002522364716,40.20003022994776,23.500016850100344
LEON BLUM - FOLIE-REGNAULT,1,inf1946,meuble,33.75040138215982,40.464808434076886,23.636002096759395
BASSIN DE LA VILLETTE,1,inf1946,meuble,31.10000885508562,37.300010557986695,21.800006130443894
COURCELLES - WAGRAM,1,inf1946,meuble,34.40006341798104,41.3000758887599,24.100044179769387
ROSA PARKS - MACDONALD,1,inf1946,meuble,31.1,37.3,21.8
REUNION - PERE LACHAISE,1,inf1946,meuble,30.132062086543165,36.161251467675186,21.11674882947836
FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,1,inf1946,meuble,33.69991187075142,40.399895474612144,23.599938514477735
SAINT BLAISE,1,inf1946,meuble,31.09997462934264,37.29997015216781,21.799982091300688
PEREIRE - MALESHERBES,1,inf1946,meuble,34.4,41.3,24.1
REPUBLIQUE - SAINT-AMBROISE,1,inf1946,meuble,34.08790294886313,40.8987236438673,23.877073098954405
PERNETY,1,inf1946,meuble,35.209510277355015,42.289400985043926,24.639674215821646
EUROPE,1,inf1946,meuble,33.600660375702006,40.30080039973353,23.500471920818548
GROS CAILLOU,1,inf1946,meuble,38.09989316344134,45.699872184254055,26.699925022221368
GRANDES CARRIERES - CLICHY,1,inf1946,meuble,31.900058270831334,38.300068837327075,22.300042056172305
MAIRIE,1,inf1946,meuble,34.17425444868991,40.9957317215513,23.908604497206348
SEINE,1,inf1946,meuble,38.58780660051113,46.338839660719266,27.05309622482341
MONNAIE,1,inf1946,meuble,38.79997001550407,46.59996309600502,27.19997924150282
BASTILLE - POPINCOURT,1,inf1946,meuble,33.891322098194806,40.64598295117427,23.736658349722596
BELLEVILLE,1,inf1946,meuble,33.409865550785305,40.05407570820894,23.39913319430999
AMANDIERS - MENILMONTANT,1,inf1946,meuble,29.401188445281196,35.3014108354549,20.600829361883083
BERCY,1,inf1946,meuble,29.400285697620554,35.30034156561255,20.60019576201125
ECOLE MILITAIRE,1,inf1946,meuble,38.09989973595122,45.699880674432585,26.69992964524871
MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT,1,inf1946,meuble,31.900071887801474,38.30008386910172,22.30005191896773
BATIGNOLLES,1,inf1946,meuble,34.27632711673962,41.14099551585639,24.011661373311618
MONCEAU,1,inf1946,meuble,33.82607182295763,40.573894723693165,23.660858812214347
ANVERS - MONTHOLON,1,inf1946,meuble,35.499953557836506,42.59994452741583,24.899966458437476
MOUTON - DUVERNET,1,inf1946,meuble,34.677627713161925,41.631255133897106,24.297186433798082
VAL DE GRACE,1,inf1946,meuble,37.49842385283495,44.998118801766424,26.29888147076646
DAUPHINE,1,inf1946,meuble,33.6,40.3,23.5
SECRETAN,1,inf1946,meuble,29.878292407513495,35.862697327323595,20.937617846602908
JARDIN DES PLANTES,1,inf1946,meuble,34.40109789256337,41.30131052155101,24.10077902834364
CAMBRONNE - GARIBALDI,1,inf1946,meuble,34.400053835266135,41.30006338135039,24.100038141865948
HALLES - BEAUBOURG - MONTORGUEIL,1,inf1946,meuble,36.80834641755026,44.1759433816824,25.814360572129658
FAUBOURG MONTMARTRE,1,inf1946,non-meuble,31.6208736828935,37.92864073649036,22.1592231024982
CLIGNANCOURT - JULES JOFFRIN,1,inf1946,non-meuble,28.0,33.6,19.6
GOUTTE D'OR - CHATEAU ROUGE,1,inf1946,non-meuble,29.05010956135491,34.84700530340714,20.321951054191526
LEGENDRE - LEVIS,1,inf1946,non-meuble,30.19996163187478,36.19995615071404,21.09997807535702
CHAMPERRET - BERTHIER,1,inf1946,non-meuble,30.199999999999996,36.2,21.1
HOCHE - FRIEDLAND,1,inf1946,non-meuble,33.99971658432576,40.79965817560548,23.79980121105436
