conseil_de_quartier,zn,frac_in_zn
HALLES - BEAUBOURG - MONTORGUEIL,5,0.4421516013338844
BELLEVILLE - SAINT-MAUR,11,0.5181754186919212
VAUGIRARD - PARC DES EXPOSITIONS,8,0.5291894339206628
AMIRAUX - SIMPLON - POISSONNIERS,11,0.5329165471756143
LEGENDRE - LEVIS,6,0.53927130022126
PEREIRE - MALESHERBES,6,0.544895101034756
REPUBLIQUE - SAINT-AMBROISE,10,0.5539814096266131
REUNION - PERE LACHAISE,14,0.5694207507415054
GAMBETTA,13,0.5985308929894767
BOIS DE BOULOGNE,3,0.6015739201027629
JARDIN DE REUILLY,9,0.6069244100195712
NATIONALE - DEUX MOULINS,13,0.6177450658791466
GOUTTE D'OR - CHATEAU ROUGE,11,0.6562978817005555
SECRETAN,14,0.7186655392788375
NOTRE - DAME DES CHAMPS,1,0.7238234032793277
BASTILLE - POPINCOURT,11,0.7267271738611782
MOUTON - DUVERNET,10,0.731859931102807
CHARLES HERMITE - EVANGILE,13,0.748966241106041
MARAIS - ARCHIVES,4,0.7498419845436579
LOUVRE - OPERA,2,0.7723754515147483
ALLERAY - PROCESSION,8,0.7795099321747735
MARAIS - PLACE DES VOSGES,4,0.7919072101689366
LA CHAPELLE - MARX DORMOY,13,0.8105279496807916
LOUIS BLANC - AQUEDUC,5,0.8122025663094385
MARTIN LUTHER KING,10,0.8201628918446795
FAUBOURG MONTMARTRE,5,0.820387220276962
BATIGNOLLES,10,0.8233612479124021
RENNES,1,0.8261327658289855
SEINE,2,0.8368023048748119
PLATEAU,14,0.856165762106098
SAINT - PHILIPPE DU ROULE,2,0.8610611592803067
SALPETRIERE - AUSTERLITZ,10,0.8880687484267085
BELLEVILLE,11,0.8885371769229676
MAIRIE,3,0.889556270192475
PERNETY,12,0.8994430746700326
TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,13,0.9040215774442487
SAINT - LAMBERT,8,0.9103219904389743
OLYMPIADES - CHOISY,13,0.9117264030237306
MONTPARNASSE - RASPAIL,5,0.9173303892945422
MANIN - JAURES,13,0.9219923720240581
LEON BLUM - FOLIE-REGNAULT,11,0.9278870752482078
PIGALLE - MARTYRS,5,0.9395281998621515
ELYSEES - MADELEINE,2,0.9497254277447535
MONCEAU,3,0.9565242339095957
MONTSOURIS - DAREAU,11,0.9605751661045113
BEL - AIR SUD,14,0.9625096582562656
BLANCHE - TRINITE,5,0.9684494474697647
OPERA - CHAUSSEE D'ANTIN,2,0.9763474879158155
VALLEE DE FECAMP,9,0.9900392534435642
CHAMPERRET - BERTHIER,6,0.990353149627168
SAINT - VICTOR,4,0.9963247656315767
JEAN MOULIN - PORTE D'ORLEANS,10,0.9991597788474819
VAL DE GRACE,4,0.9994814220788507
JARDIN DES PLANTES,10,0.9996457104646399
AMANDIERS - MENILMONTANT,14,0.9997266135512494
VIOLET - COMMERCE,7,0.9997352451047771
NATION - ALEXANDRE DUMAS,10,0.9997768913541002
CHATEAU D'EAU - LANCRY,11,0.9997847760606141
MUETTE SUD,3,0.9998104908460049
SAINT - GERMAIN DES PRES,2,0.9998310652108872
EUROPE,3,0.9998404545867048
AUTEUIL NORD,7,0.9998574672397711
CROULEBARBE,5,0.999873242799394
BERCY,14,0.9998748538145956
EPINETTES - BESSIERES,11,0.9999052803975645
BIBLIOTHEQUE - SEINE,13,0.9999159221586154
MOSKOWA - PORTE MONTMARTRE - PORTE DE CLIGNANCOURT,9,0.9999236730487586
ITALIE - PEUPLIERS - RUNGIS,12,0.9999261504218319
GRANGE AUX BELLES - TERRAGE,11,0.99992642747256
BAS - BELLEVILLE,14,0.99992978569606
HOCHE - FRIEDLAND,2,0.9999303081290523
CAMBRONNE - GARIBALDI,6,0.9999381761946183
SAINT - THOMAS D'AQUIN,1,0.9999433637209049
PORTE SAINT-DENIS - PARADIS,5,0.9999440312490945
BEL - AIR NORD,14,0.999945763638479
LA FOURCHE - GUY MOQUET,11,0.9999498293778769
PLAINE LAGNY,13,0.9999517477725834
ODEON,2,0.9999542575673802
ALIGRE - GARE DE LYON,11,0.9999550011439097
PASTEUR - MONTPARNASSE,6,0.9999571996998586
BUTTES AUX CAILLES - DAVIEL - BOUSSINGAULT,12,0.9999585311288516
TRIANGLE D'OR,2,0.9999586492996705
COURCELLES - WAGRAM,6,0.9999693016935008
GEORGES BRASSENS,8,0.9999696669508534
SENTIER - ARTS ET METIERS,4,0.999971202319932
CHAILLOT,3,0.9999713482688021
ECOLE MILITAIRE,1,0.9999736596092582
GRANDES CARRIERES - CLICHY,9,0.9999739088622281
DIDOT - PORTE DE VANVES,12,0.9999742935250034
GROS CAILLOU,1,0.9999744601918452
TERNES - MAILLOT,6,0.9999749712607517
MONNAIE,2,0.9999769350032115
SAINT BLAISE,13,0.9999771613893533
NATION - PICPUS,9,0.9999784935480246
FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS,11,0.9999795048258748
MONTMARTRE,9,0.9999799209979287
PLACE DES FETES,13,0.9999809061434175
DUPLEIX - LA MOTTE PICQUET,7,0.9999809771262592
ROSA PARKS - MACDONALD,13,0.9999814913846824
TEMPLE - ENFANTS ROUGES,4,0.9999859714900122
AUTEUIL SUD,7,0.9999866698689601
SAINT - VINCENT DE PAUL - LARIBOISIERE,5,0.9999868314443792
ANVERS - MONTHOLON,5,0.9999870993990313
INVALIDES,1,0.999988041348918
MASSENA - JEANNE D'ARC,13,0.9999880786093353
PORTE DES LILAS,13,0.9999881678033383
DANUBE,13,0.9999889433351159
PONT DE FLANDRE,13,0.999991182619874
FLANDRE - AUBERVILLIERS,13,0.9999938485395904
SAINT - PLACIDE,1,0.9999964996039598
BASSIN DE LA VILLETTE,13,0.9999965941978431
CITROEN - BOUCICAUT,7,0.999996712058793
SORBONNE,4,0.9999972967313263
MUETTE NORD,3,0.9999977857922168
CLIGNANCOURT - JULES JOFFRIN,9,0.9999999999999999
EMERIAU - ZOLA,7,0.9999999999999999
DAUPHINE,3,1.0
