seloger_quartier,code_postal,rooms,epoque,furnished,ref,refmaj,refmin
Les Halles,75001,1,inf1946,meuble,35.51334085593797,42.616135234800254,24.9093070472379
Palais Royal,75001,1,inf1946,meuble,38.78182486739823,46.57796864860274,27.187332705247545
Saint Germain l'Auxerrois,75001,1,inf1946,meuble,38.7958375383421,46.59495459192983,27.197098890359648
Seine et Berges,75001,1,inf1946,meuble,38.748909805983764,46.534312607693415,27.163507004274116
Vendôme,75001,1,inf1946,meuble,38.8,46.6,27.2
Montorgueil-Saint Denis,75002,1,inf1946,meuble,37.4673161135718,44.96077933628616,26.27712127950026
Sentier-Bonne Nouvelle,75002,1,inf1946,meuble,37.4953574528746,44.99442894344952,26.29675021701222
Vivienne-Gaillon,75002,1,inf1946,meuble,38.05406138370435,45.68205510617528,26.683547607160534
Archives,75003,1,inf1946,meuble,37.50061710871143,45.00076296162131,26.300424130221394
Arts et Métiers,75003,1,inf1946,meuble,37.49414026825704,44.99290664052169,26.29583650639316
Enfants Rouges,75003,1,inf1946,meuble,37.499862953078775,44.999835354260505,26.29990268721423
Sainte Avoie,75003,1,inf1946,meuble,37.50662822780414,45.0083388140887,26.304543524281964
Arsenal,75004,1,inf1946,meuble,38.50005707428689,46.235270381761666,26.98835939013092
Saint Gervais,75004,1,inf1946,meuble,37.50775612399454,45.00954599876251,26.30536962430391
Saint Merri,75004,1,inf1946,meuble,38.784191611098365,46.58075931295783,27.189001782858913
Seine et Berges,75004,1,inf1946,meuble,38.422394369631576,46.13525524201004,26.938580147527812
Île Saint Louis,75004,1,inf1946,meuble,38.8,46.6,27.2
Île de la Cité,75004,1,inf1946,meuble,38.695265383182665,46.47109585622483,27.127491419126464
Jardin des Plantes,75005,1,inf1946,meuble,34.431369873229166,41.33744146159609,24.122262490678764
Saint Victor,75005,1,inf1946,meuble,37.48511104728963,44.98222931450698,26.28943364646361
Sorbonne,75005,1,inf1946,meuble,37.501216039912116,45.00149666450722,26.300841873785313
Val de Grace,75005,1,inf1946,meuble,37.506552419961906,45.008118023247185,26.304441524620884
Monnaie,75006,1,inf1946,meuble,38.79848210509492,46.59813182165529,27.1989491496811
Notre Dame des Champs,75006,1,inf1946,meuble,38.09636169512126,45.695959272577724,26.69755111506822
Odéon,75006,1,inf1946,meuble,38.795871164315464,46.594818466912955,27.197101619628278
Rennes,75006,1,inf1946,meuble,38.10409447642453,45.70526432683153,26.702924626017516
Saint Germain des Prés,75006,1,inf1946,meuble,38.79539991864015,46.5940856096802,27.19671422760011
Saint Placide,75006,1,inf1946,meuble,38.07406100985703,45.66913721029758,26.681827345007584
Ecole Militaire,75007,1,inf1946,meuble,38.03215937118901,45.61922781160184,26.652433856994193
Gros Caillou,75007,1,inf1946,meuble,38.096566629891655,45.695894883566105,26.697611568620275
Invalides,75007,1,inf1946,meuble,38.1,45.7,26.7
Saint Thomas d'Aquin,75007,1,inf1946,meuble,38.104323251998395,45.70555846685508,26.703088037141708
Seine et Berges,75007,1,inf1946,meuble,36.945009635881625,44.324164709901716,25.881774897444444
Elysées-Madeleine,75008,1,inf1946,meuble,38.8,46.6,27.2
Europe,75008,1,inf1946,meuble,33.64603179694908,40.35616448551509,23.53332216862011
Hoche-Friedland,75008,1,inf1946,meuble,38.76509462618933,46.557750609032084,27.175203295937415
Mairie,75008,1,inf1946,meuble,34.26479984597308,41.1056545185882,23.97325459560167
Parc Monceau,75008,1,inf1946,meuble,33.63521499819169,40.343068076379836,23.525460577283997
Saint Philippe du Roule,75008,1,inf1946,meuble,37.558565780641395,45.095954695777074,26.316671805456377
Triangle d'Or,75008,1,inf1946,meuble,38.78138925993045,46.57745237260806,27.186757742642826
Clichy-Trinité,75009,1,inf1946,meuble,35.478091610636326,42.57411206851332,24.883741321216398
Lafayette-Richer,75009,1,inf1946,meuble,36.177881352207606,43.42116532179954,25.372590021757723
Lorette-Martyrs,75009,1,inf1946,meuble,35.506848657386314,42.6083014028925,24.904773306663184
Provence Opéra,75009,1,inf1946,meuble,38.79963290355762,46.59955503461531,27.199744144903796
Trudaine-Maubeuge,75009,1,inf1946,meuble,35.41749408921044,42.501446479244805,24.840412397763092
Chateau d'Eau-Lancry,75010,1,inf1946,meuble,33.78868312962291,40.50750371337732,23.663162148565867
Faubourg du Temple-Hôpital Saint Louis,75010,1,inf1946,meuble,33.7,40.4,23.6
Grange Aux Belles-Terrage,75010,1,inf1946,meuble,33.73756528536884,40.44634624259995,23.627460377750694
Louis Blanc-Aqueduc,75010,1,inf1946,meuble,35.22245145476227,42.2610803887572,24.69985466137606
Porte Saint Denis-Paradis,75010,1,inf1946,meuble,35.50275359943712,42.60330431932455,24.901927519605984
Saint Vincent de Paul-Lariboisière,75010,1,inf1946,meuble,35.481000079164644,42.576777874534564,24.88627783495224
Bastille-Popincourt,75011,1,inf1946,meuble,33.89143131376389,40.64604599859952,23.7367285845116
Belleville-Saint Maur,75011,1,inf1946,meuble,34.03034698111405,40.825485017424164,23.83608766012772
Léon-Blum Folie-Regnault,75011,1,inf1946,meuble,33.75428325694042,40.46986005078829,23.638784970268258
Nation-Alexandre Dumas,75011,1,inf1946,meuble,34.37615544665257,41.2711223858687,24.08317471181417
République-Saint Ambroise,75011,1,inf1946,meuble,34.11732847304339,40.93405674851648,23.897966344904034
Aligre-Gare de Lyon,75012,1,inf1946,meuble,33.75056203927133,40.462061320537515,23.635823002088358
Bel-Air Nord,75012,1,inf1946,meuble,29.419821347668233,35.32367604961429,20.613599053352424
Bel-Air Sud,75012,1,inf1946,meuble,29.89053843948358,35.8886461273803,20.93356613884884
Bercy,75012,1,inf1946,meuble,29.41645362521952,35.319722275656275,20.61121642631834
Bois de Vincennes,75012,1,inf1946,meuble,30.75466288535121,36.925595462421455,21.52117076203882
Jardin de Reuilly,75012,1,inf1946,meuble,30.95492539507692,37.16585119273756,21.65742435836831
Nation-Picpus,75012,1,inf1946,meuble,31.873168928377922,38.26780271405351,22.281984308103493
Seine et Berges,75012,1,inf1946,meuble,32.45029640415944,38.942439950290506,22.73912172815783
Vallée de Fécamp,75012,1,inf1946,meuble,31.89461058276465,38.29353269931757,22.296335196279962
Bièvres Sud Tolbiac,75013,1,inf1946,meuble,35.296704573062385,42.39588071632799,24.697734393980394
Buttes Aux Cailles-Glacière,75013,1,inf1946,meuble,35.30284262810787,42.40153878558852,24.7046372316365
Croulebarbe,75013,1,inf1946,meuble,35.506771012086695,42.608148089828134,24.90470539547453
Dunois-Bibliothèque-Jeanne-d'Arc,75013,1,inf1946,meuble,31.14618283918804,37.355979199015806,21.832188039434087
Nationale-Deux Moulins,75013,1,inf1946,meuble,31.14965341055444,37.36018730187998,21.83460287342929
Olympiades-Choisy,75013,1,inf1946,meuble,32.84515920765033,39.41912189500397,23.00499088147285
Patay-Masséna,75013,1,inf1946,meuble,31.1,37.3,21.8
Salpêtrière-Austerlitz,75013,1,inf1946,meuble,34.39925638167512,41.29905691932314,24.099522735059978
Didot-Porte de Vanves,75014,1,inf1946,meuble,35.12436951895547,42.18920118541435,24.57712201926716
Jean Moulin-Porte d'Orléans,75014,1,inf1946,meuble,34.39344888267152,41.29150883944493,24.095269408915822
Montsouris Dareau,75014,1,inf1946,meuble,33.72640950194065,40.432727193578785,23.618602038541507
Mouton Duvernet,75014,1,inf1946,meuble,34.65925971077425,41.609029353509456,24.284514107447183
Pernety,75014,1,inf1946,meuble,35.02514972009534,42.06621593032049,24.51355040475761
Raspail-Montparnasse,75014,1,inf1946,meuble,35.46107768460954,42.5578541759359,24.865911828022814
Alleray Procession,75015,1,inf1946,meuble,32.71482111350651,39.29383465893632,22.896300795361796
Cambronne-Garibaldi,75015,1,inf1946,meuble,34.38652599816661,41.283756004488836,24.090664728641325
Citroën-Boucicaut,75015,1,inf1946,meuble,33.5,40.2,23.5
Dupleix-Motte Picquet,75015,1,inf1946,meuble,33.51253856416752,40.21499695715882,23.508716811434514
Emeriau-Zola,75015,1,inf1946,meuble,33.5,40.2,23.5
Georges Brassens,75015,1,inf1946,meuble,32.30743113683956,38.80891630888922,22.60520337876505
Pasteur Montparnasse,75015,1,inf1946,meuble,34.40143321293027,41.301751704692556,24.100955475286852
Saint Lambert,75015,1,inf1946,meuble,32.30405114173479,38.804726332023925,22.6030383563011
Seine et Berges,75015,1,inf1946,meuble,33.548608250195585,40.25588380723261,23.525868647242724
Vaugirard-Parc des Expositions,75015,1,inf1946,meuble,32.95092449725803,39.55941191346771,23.088193372943525
Violet Commerce,75015,1,inf1946,meuble,33.48096548471854,40.1778689579608,23.485610274855162
Auteuil Nord,75016,1,inf1946,meuble,33.50048357499075,40.200483574990756,23.5
Auteuil Sud,75016,1,inf1946,meuble,33.5,40.2,23.5
Bois de Boulogne,75016,1,inf1946,meuble,33.56152574736652,40.261725036882325,23.500597868547448
Chaillot,75016,1,inf1946,meuble,33.629980442027716,40.336380028177,23.52138980716314
Muette Nord,75016,1,inf1946,meuble,33.6,40.3,23.5
Muette Sud,75016,1,inf1946,meuble,33.59937682111986,40.29937682111986,23.5
Porte Dauphine,75016,1,inf1946,meuble,33.6,40.3,23.5
Batignolles-Cardinet,75017,1,inf1946,meuble,34.30186264792093,41.17524986322597,24.029806794121683
